SAMPLE_ID	GENE	REGIONS	MUTTYPES	DEPTH	N_MUTS	N_MUTATED	MUTDENSITY_MB	MUTDENSITY_MB_ADJUSTED	MUTREADSRATE_MB	MUTREADSRATE_MB_ADJUSTED
P19_0046_BTR_01	ALL_GENES	synonymous	all_types	54291358	18.0	18.0	0.3315444789574061	0.49806121371541034	0.3315444789574061	0.49806121371541034
P19_0046_BTR_01	ALL_GENES	synonymous	SNV	54291358	18.0	18.0	0.3315444789574061	0.49806121371541034	0.3315444789574061	0.49806121371541034
P19_0046_BTR_01	ALL_GENES	synonymous	DELETION-INSERTION	54291358	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	ALL_GENES	synonymous	DELETION-INSERTION-SNV	54291358	18.0	18.0	0.3315444789574061	0.49806121371541034	0.3315444789574061	0.49806121371541034
P19_0046_BTR_01	ARID1A	synonymous	all_types	5573017	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	CDKN1A	synonymous	all_types	1200845	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	CREBBP	synonymous	all_types	4809135	1.0	1.0	0.2079376020843665	0.3098393513946954	0.2079376020843665	0.3098393513946954
P19_0046_BTR_01	EP300	synonymous	all_types	5686750	3.0	3.0	0.5275420934628742	0.7881731984331116	0.5275420934628742	0.7881731984331116
P19_0046_BTR_01	FGFR3	synonymous	all_types	1718976	2.0	2.0	1.1634833761495216	1.7226667340420767	1.1634833761495216	1.7226667340420767
P19_0046_BTR_01	FOXQ1	synonymous	all_types	3993187	1.0	1.0	0.2504265390025561	0.3367372228428165	0.2504265390025561	0.3367372228428165
P19_0046_BTR_01	KDM6A	synonymous	all_types	4225025	3.0	3.0	0.7100549700889344	1.098682569730636	0.7100549700889344	1.098682569730636
P19_0046_BTR_01	KMT2C	synonymous	all_types	4509731	2.0	2.0	0.4434854318361783	0.6995911356206388	0.4434854318361783	0.6995911356206388
P19_0046_BTR_01	KMT2D	synonymous	all_types	9697619	4.0	4.0	0.4124723811071563	0.593606912908665	0.4124723811071563	0.593606912908665
P19_0046_BTR_01	NOTCH2	synonymous	all_types	4955959	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	PIK3CA	synonymous	all_types	218291	1.0	1.0	4.581040904114232	7.964425565806067	4.581040904114232	7.964425565806067
P19_0046_BTR_01	RB1	synonymous	all_types	3369014	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	RBM10	synonymous	all_types	944318	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	STAG2	synonymous	all_types	2506667	1.0	1.0	0.3989361171627504	0.6839722279916546	0.3989361171627504	0.6839722279916546
P19_0046_BTR_01	TERTpromoter	synonymous	all_types	164251	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	TP53	synonymous	all_types	718573	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	ARID1A	synonymous	SNV	5573017	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	CDKN1A	synonymous	SNV	1200845	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	CREBBP	synonymous	SNV	4809135	1.0	1.0	0.2079376020843665	0.3098393513946954	0.2079376020843665	0.3098393513946954
P19_0046_BTR_01	EP300	synonymous	SNV	5686750	3.0	3.0	0.5275420934628742	0.7881731984331116	0.5275420934628742	0.7881731984331116
P19_0046_BTR_01	FGFR3	synonymous	SNV	1718976	2.0	2.0	1.1634833761495216	1.7226667340420767	1.1634833761495216	1.7226667340420767
P19_0046_BTR_01	FOXQ1	synonymous	SNV	3993187	1.0	1.0	0.2504265390025561	0.3367372228428165	0.2504265390025561	0.3367372228428165
P19_0046_BTR_01	KDM6A	synonymous	SNV	4225025	3.0	3.0	0.7100549700889344	1.098682569730636	0.7100549700889344	1.098682569730636
P19_0046_BTR_01	KMT2C	synonymous	SNV	4509731	2.0	2.0	0.4434854318361783	0.6995911356206388	0.4434854318361783	0.6995911356206388
P19_0046_BTR_01	KMT2D	synonymous	SNV	9697619	4.0	4.0	0.4124723811071563	0.593606912908665	0.4124723811071563	0.593606912908665
P19_0046_BTR_01	NOTCH2	synonymous	SNV	4955959	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	PIK3CA	synonymous	SNV	218291	1.0	1.0	4.581040904114232	7.964425565806067	4.581040904114232	7.964425565806067
P19_0046_BTR_01	RB1	synonymous	SNV	3369014	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	RBM10	synonymous	SNV	944318	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	STAG2	synonymous	SNV	2506667	1.0	1.0	0.3989361171627504	0.6839722279916546	0.3989361171627504	0.6839722279916546
P19_0046_BTR_01	TERTpromoter	synonymous	SNV	164251	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	TP53	synonymous	SNV	718573	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	ARID1A	synonymous	DELETION-INSERTION	5573017	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	CDKN1A	synonymous	DELETION-INSERTION	1200845	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	CREBBP	synonymous	DELETION-INSERTION	4809135	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	EP300	synonymous	DELETION-INSERTION	5686750	0.0	0.0	0.0	0.0	0.0	0.0
P19_0046_BTR_01	FGFR3	synonymous	DELETION-INSERTION	1718976	0.0	0.0	0.0	0.0	0.0	0.0
