Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CHa_47_T0_B_TWS042_10_LPART10_1	(1, 0.01835079301364749)	(2, 0.009379722713525614)	(3, 0.0008761530597058858)	(4, 0.029972747669015778)	(5, 0.042739386155568125)	(6, 6.11336011663057e-05)	(7, 0.07962094493396017)	(8, 0.16717154641546386)	(9, 0.4156082173981247)	(10, 0.02522832314485688)	(15, 0.13269693749682335)	(20, 0.07618115145263492)	(25, 0.1804078280810695)	(30, 0.035256490537295564)	(35, 0.035063005546314543)	(40, 0.0870057696864365)	(45, 0.043979027038283394)	(50, 0.04402561998384519)	(55, 0.013286359797775989)	(60, 0.1022266080216792)	(65, 0.06092797515640146)	(70, 0.0013096302859196816)	(75, 0.01014015043756575)	(80, 0.04500044381851762)	(85, 0.0025781525101205246)	(90, 0.010612278954610392)	(95, 0.0031037300775306614)	(100, 0.05605756970647461)	(105, 0.011897970007923829)	(110, 0.0016087564250843484)	(115, 0.0005413751755619904)	(120, 0.025484598628998434)	(125, 0.059678964263787805)	(130, 0.03457116572795927)	(135, 0.010301668839899532)	(140, 0.0013940746434185599)	(145, 0.009739953886753238)	(150, 0.002453485671106619)
CHa_47_T0_B_TWS042_10_LPART10_2	(1, 0.23018243477833208)	(2, 0.04514473625753212)	(3, 0.0037360057759483456)	(4, 0.0023956372868254184)	(5, 0.03946902416420426)	(6, 0.005666856291289749)	(7, 0.2560086673962781)	(8, 0.0025848943465108278)	(9, 0.12959580702569742)	(10, 0.1360994223411751)	(15, 0.019009064776112528)	(20, 0.021754763347373418)	(25, 0.053816509015869235)	(30, 0.16708567370279753)	(35, 0.0790743705455887)	(40, 0.10004908056892141)	(45, 0.020043508155473788)	(50, 0.10174756626562415)	(55, 0.01635672349859532)	(60, 0.14430897936732962)	(65, 0.07295304020712384)	(70, 0.005009841481372054)	(75, 0.059391750606719564)	(80, 0.06519458630994933)	(85, 0.009089938017155985)	(90, 0.026838936431658893)	(95, 0.015218381564354691)	(100, 0.005882309384745953)	(105, 0.09757388389926974)	(110, 0.05745715780083948)	(115, 0.005657657684011454)	(120, 0.0065380672421163025)	(125, 0.057425505450329074)	(130, 0.004484635286305451)	(135, 0.019077797226769597)	(140, 0.06538755709307006)	(145, 0.048065865410457626)	(150, 0.004751423464479343)
CHa_47_T0_B_TWS042_10_LPART11_1	(1, 0.0006415304777829116)	(2, 0.13111366876350974)	(3, 0.004849380821665358)	(4, 0.009881955795082728)	(5, 0.0)	(6, 0.001214275411996102)	(7, 0.0015034554523096245)	(8, 0.0)	(9, 0.0)	(10, 1.824922584502812e-05)	(15, 0.00010907421908912963)	(20, 0.000335224240907132)	(25, 0.006995349402380317)	(30, 0.038274943636739556)	(35, 0.015884828068814208)	(40, 0.011276196649642876)	(45, 0.0008203728910641873)	(50, 0.0006667986366452582)	(55, 0.0010020228775523903)	(60, 0.0023434813558223036)	(65, 0.002079007959729742)	(70, 0.003525329297278394)	(75, 0.00026601756135637145)	(80, 0.0026607371282051)	(85, 0.01233914386578559)	(90, 0.001983690849354557)	(95, 0.002782305048065057)	(100, 0.00213979191965972)	(105, 0.0322188678507368)	(110, 0.0030157547602210704)	(115, 0.0016685407568769557)	(120, 2.358361493819019e-05)	(125, 0.033038258091178566)	(130, 0.00025717370575455015)	(135, 0.0009841947876884014)	(140, 0.0024785256270755114)	(145, 0.00017154272294326434)	(150, 0.0004864120581001726)
CHa_47_T0_B_TWS042_10_LPART11_2	(1, 0.10187911085307642)	(2, 0.0808798670518629)	(3, 0.009394139950379092)	(4, 0.0052052407256434055)	(5, 0.0032827549721998663)	(6, 0.00222991501960209)	(7, 0.0009510654238466579)	(8, 0.0035319270943146735)	(9, 0.00022390396325246042)	(10, 0.0010260276284716195)	(15, 0.00011047800569259332)	(20, 0.0006495320614226547)	(25, 0.00218429195498952)	(30, 0.007812493584256539)	(35, 0.009744525086603631)	(40, 0.03969613719408621)	(45, 0.0019688107113578416)	(50, 0.0014314411995519367)	(55, 0.004106496951112366)	(60, 0.0019869195585425236)	(65, 0.013071218579491912)	(70, 0.0018906197975449132)	(75, 0.006181012793711025)	(80, 0.0019182743936331484)	(85, 0.0025584010848125963)	(90, 0.018970351023227427)	(95, 0.0053210531204291615)	(100, 0.0022088582205501343)	(105, 0.00040035993930784774)	(110, 0.0015436037491686865)	(115, 0.0028203476650189227)	(120, 0.0018982002452036172)	(125, 0.02706767290932675)	(130, 0.0007956662468432262)	(135, 0.013808066167650008)	(140, 0.021616488770756503)	(145, 0.002618623530101189)	(150, 0.0)
CHa_47_T0_B_TWS042_10_LPART12_1	(1, 0.0)	(2, 0.06646232423867085)	(3, 0.12619048320906126)	(4, 0.0057381946246020535)	(5, 0.0)	(6, 0.12375369731541727)	(7, 4.0106200416579095e-06)	(8, 0.2455776179541235)	(9, 0.0)	(10, 0.058835194418115286)	(15, 0.07426211125201979)	(20, 0.0014953596825321516)	(25, 0.08817154314949567)	(30, 0.009085524955037106)	(35, 0.010129021446209132)	(40, 0.0031147143680188933)	(45, 0.017917578723441432)	(50, 0.0010158232128845875)	(55, 0.009655434062956695)	(60, 0.009052972089032316)	(65, 0.00014150804380316323)	(70, 0.05276264776937368)	(75, 0.017311507191479558)	(80, 0.0)	(85, 0.0022914677608012464)	(90, 0.026533994820939287)	(95, 0.042587103130681314)	(100, 0.0005259259747960738)	(105, 0.006940979575095261)	(110, 0.019374636984575748)	(115, 0.0)	(120, 0.0006142264593799087)	(125, 0.006340121849187546)	(130, 0.025621779292464196)	(135, 0.00107070186378794)	(140, 0.03350278136165671)	(145, 0.060352746198211266)	(150, 0.0011650851221016228)
CHa_47_T0_B_TWS042_10_LPART12_2	(1, 0.06943486212621297)	(2, 0.005752900231421466)	(3, 0.08790944912977333)	(4, 0.00182215837225991)	(5, 0.0)	(6, 0.000888018120890422)	(7, 0.0020985569367975012)	(8, 0.0018866625112632415)	(9, 0.0)	(10, 0.042361839971674864)	(15, 0.017327081765974667)	(20, 0.016819872018039663)	(25, 0.009364730953603857)	(30, 0.0016246353352082582)	(35, 0.018425657439052126)	(40, 0.012721085179132641)	(45, 0.0005057391872530624)	(50, 6.376885866236077e-05)	(55, 0.00023682711345989954)	(60, 0.00016851288541699314)	(65, 0.027611180520461236)	(70, 0.017176148765073607)	(75, 0.0006497872904159422)	(80, 0.017189985404217328)	(85, 0.026929575644381476)	(90, 0.01922657826137121)	(95, 0.025645375107042616)	(100, 5.548024390960108e-06)	(105, 0.009316670356771323)	(110, 0.0003213843526715205)	(115, 0.00029344369971463704)	(120, 8.749836057550338e-05)	(125, 0.008791546505983582)	(130, 0.0003435096065679999)	(135, 0.008600507304665942)	(140, 0.02148549315616767)	(145, 0.01718597478417567)	(150, 0.0)
CHa_47_T0_B_TWS042_10_LPART13_1	(1, 0.0)	(2, 0.06344019025785778)	(3, 0.00034771714134091184)	(4, 0.057167620830141964)	(5, 0.005002266102314598)	(6, 0.0011908795836604916)	(7, 0.0013495682196584683)	(8, 0.0013548101866133564)	(9, 0.0)	(10, 0.008296572292739862)	(15, 2.4494281952840845e-05)	(20, 0.02554394612368632)	(25, 0.0007433109142031351)	(30, 0.0027385623847170346)	(35, 0.001874940386525043)	(40, 0.0012519087868140678)	(45, 0.0010867391734900476)	(50, 0.014859959693213532)	(55, 0.00192602573721268)	(60, 0.0020189515150493328)	(65, 0.0016812099956710566)	(70, 0.015368208101360808)	(75, 0.004329642318260712)	(80, 0.007655686235885572)	(85, 0.011190106282341407)	(90, 0.02985389135399533)	(95, 0.0008825248487262851)	(100, 0.011975448240673736)	(105, 0.013961613635132496)	(110, 0.016664244719086025)	(115, 0.021613551070407903)	(120, 0.0014815704784315602)	(125, 0.0017784564250584052)	(130, 0.0019312359346708718)	(135, 0.0010005485289530085)	(140, 0.0015481593435069873)	(145, 0.0001865822540973207)	(150, 0.0)
CHa_47_T0_B_TWS042_10_LPART13_2	(1, 0.10957712414008033)	(2, 0.04719771737691173)	(3, 0.00040236067565853345)	(4, 0.003599483975689841)	(5, 0.004083174562890881)	(6, 0.0002196860696548566)	(7, 6.766902796310116e-05)	(8, 0.0)	(9, 0.0)	(10, 0.010141585813376998)	(15, 0.0014667341234743919)	(20, 0.0007284110202525743)	(25, 0.015488932188806715)	(30, 0.0012920972001348769)	(35, 0.0020868746989860043)	(40, 0.002161564785718986)	(45, 0.002770967271347252)	(50, 0.004646415969819435)	(55, 0.003109916031599987)	(60, 0.0027507618714484104)	(65, 0.0065969995279783495)	(70, 0.01658691776412725)	(75, 0.004081713166042852)	(80, 0.030378723439418068)	(85, 0.005041882664694874)	(90, 0.0030951114461395157)	(95, 0.029471736078235642)	(100, 0.0035280026081231856)	(105, 0.002077756853434169)	(110, 0.018634588904190032)	(115, 0.010848298267386005)	(120, 0.0011858600031824777)	(125, 0.012930598158847744)	(130, 0.011096799270544399)	(135, 0.0016992868392912465)	(140, 0.0008566644784155038)	(145, 0.0007583378861404811)	(150, 0.0008142522003259544)
CHa_47_T0_B_TWS042_10_LPART14_1	(1, 0.0)	(2, 0.0793751892768167)	(3, 0.00039449188970645365)	(4, 0.052935323635551444)	(5, 0.0038504831691763613)	(6, 0.08764847176229548)	(7, 1.781806186569348e-07)	(8, 7.341041488665714e-05)	(9, 0.0002473146986958255)	(10, 2.0668951764204435e-05)	(15, 0.0015220544806912684)	(20, 0.03366876024854828)	(25, 0.000394064256221677)	(30, 0.0014088741517203833)	(35, 0.00036192047261596595)	(40, 0.0005017922582616597)	(45, 0.0010604241338748818)	(50, 0.0064026710785708325)	(55, 0.0033061770153031567)	(60, 0.0013569166833200211)	(65, 0.0004959122978459809)	(70, 0.005308927169007103)	(75, 0.0018605976561394445)	(80, 0.0024202629793408765)	(85, 0.00463718623667046)	(90, 0.01300233864912877)	(95, 0.00035561287871551045)	(100, 0.0027866023312995347)	(105, 0.006942023811245374)	(110, 0.004908697863379897)	(115, 0.008445048601864081)	(120, 0.0013889891946782694)	(125, 0.002362069189287522)	(130, 0.0008393019861216256)	(135, 8.24976264381608e-05)	(140, 0.0008694857829221104)	(145, 0.0003422849684399717)	(150, 0.0)
CHa_47_T0_B_TWS042_10_LPART14_2	(1, 0.11671774879308111)	(2, 0.05147816253617503)	(3, 0.0)	(4, 0.002093444088600327)	(5, 0.0001715879357666282)	(6, 1.0690837119416088e-06)	(7, 0.0)	(8, 0.0003287432414220447)	(9, 3.3319775688846804e-05)	(10, 0.000993784582497188)	(15, 0.0006074177290014906)	(20, 0.0005018278943853911)	(25, 0.0071520987606419)	(30, 0.0004947719418865765)	(35, 0.0020191784067441166)	(40, 0.0018406770629735992)	(45, 0.002063545380789693)	(50, 0.0035634341925200393)	(55, 0.003231305519343512)	(60, 0.0020877779449270362)	(65, 0.0035527077192768915)	(70, 0.007265849267592488)	(75, 0.0027425560823675405)	(80, 0.002207372776169571)	(85, 0.0038668045138453362)	(90, 0.002152920779108012)	(95, 0.0029245497662637337)	(100, 0.0024104986814384765)	(105, 0.0022030608051980733)	(110, 0.002382096690824561)	(115, 0.005196423926387115)	(120, 0.0015812817183328332)	(125, 0.006054292332972794)	(130, 0.00301695423509922)	(135, 0.0005709263383005505)	(140, 0.00040372164575288287)	(145, 0.00022792864738595102)	(150, 0.0)
