Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CHa_47_T0_B_TWS042_10_LPART10_1	(1, 39.296734545551324)	(2, 39.384377490194396)	(3, 39.493968757450304)	(4, 39.49512960883362)	(5, 39.59072189847188)	(6, 39.702458776584315)	(7, 39.62123348598603)	(8, 39.5695469830465)	(9, 39.52425262515682)	(10, 39.68017041602661)	(15, 39.66319026948925)	(20, 39.708083572100996)	(25, 39.66397999277778)	(30, 39.685755855502016)	(35, 39.674206771242225)	(40, 39.64537051407348)	(45, 39.64586100838127)	(50, 39.64087155952662)	(55, 39.64151355203957)	(60, 39.55447531812555)	(65, 39.57706483451511)	(70, 39.58017453597425)	(75, 39.570238965419264)	(80, 39.559503471120166)	(85, 39.56193638104942)	(90, 39.5372201220894)	(95, 39.520457616599955)	(100, 39.498392087732825)	(105, 39.49498439853358)	(110, 39.47626993658149)	(115, 39.442455994491255)	(120, 39.409256936732596)	(125, 39.35918182410508)	(130, 39.31434722831908)	(135, 39.26294941338482)	(140, 39.18856582062866)	(145, 39.09016918615568)	(150, 39.007674776566404)
CHa_47_T0_B_TWS042_10_LPART10_2	(1, 38.81308039926709)	(2, 38.96739970301411)	(3, 39.24323828376248)	(4, 39.30825612397565)	(5, 39.43696342981122)	(6, 39.51568647212134)	(7, 39.37900959435307)	(8, 39.5315895200233)	(9, 39.56420065679656)	(10, 39.489689100271995)	(15, 39.57661184909969)	(20, 39.58188608283628)	(25, 39.56495558392485)	(30, 39.50320602801761)	(35, 39.52533147581267)	(40, 39.498349143377695)	(45, 39.51964461912098)	(50, 39.47170273693875)	(55, 39.490420340415206)	(60, 39.41826664803939)	(65, 39.43091955203171)	(70, 39.43897519950351)	(75, 39.39568804228361)	(80, 39.37290954593526)	(85, 39.371022431369475)	(90, 39.34045286691908)	(95, 39.31871611255932)	(100, 39.28961628415392)	(105, 39.2136322602836)	(110, 39.19023319160774)	(115, 39.17066521916773)	(120, 39.11556455086663)	(125, 39.03327812378761)	(130, 38.9915904141165)	(135, 38.902620703781906)	(140, 38.79274838450745)	(145, 38.69740765820965)	(150, 38.64948085060219)
CHa_47_T0_B_TWS042_10_LPART11_1	(1, 39.27946231351318)	(2, 39.13391582335415)	(3, 39.296120003315465)	(4, 39.37353672881658)	(5, 39.37730752423934)	(6, 39.47052591749088)	(7, 39.37766819211244)	(8, 39.351484518721975)	(9, 39.47643509402777)	(10, 39.47302298994657)	(15, 39.62833916525949)	(20, 39.678335851972165)	(25, 39.652430441373596)	(30, 39.602695595957144)	(35, 39.63034607895062)	(40, 39.62397900828049)	(45, 39.616500260749845)	(50, 39.610660619378585)	(55, 39.594199354416794)	(60, 39.57989166094395)	(65, 39.56508342630086)	(70, 39.54568794692749)	(75, 39.52995250842523)	(80, 39.51183917473857)	(85, 39.49355640681643)	(90, 39.47986277171755)	(95, 39.465178547583)	(100, 39.45025327223183)	(105, 39.424653576876)	(110, 39.41952218795977)	(115, 39.39820720307192)	(120, 39.374613736359336)	(125, 39.32877805142024)	(130, 39.30535601933904)	(135, 39.25724355677215)	(140, 39.19751143308734)	(145, 39.127527885396155)	(150, 39.07714303624597)
CHa_47_T0_B_TWS042_10_LPART11_2	(1, 38.79368988375994)	(2, 38.91898665389895)	(3, 39.2348034397292)	(4, 39.29418112835342)	(5, 39.40994985133795)	(6, 39.46247266046627)	(7, 39.46672407030846)	(8, 39.462796275391966)	(9, 39.57569135595307)	(10, 39.53651859392214)	(15, 39.552314617046626)	(20, 39.55034684934871)	(25, 39.53545462053798)	(30, 39.516394383654756)	(35, 39.5006241761659)	(40, 39.47492672111098)	(45, 39.46753794647512)	(50, 39.44963983994671)	(55, 39.42428379983163)	(60, 39.40062748278525)	(65, 39.37357571618192)	(70, 39.35100134379578)	(75, 39.32315482902205)	(80, 39.29775949691994)	(85, 39.26869173412616)	(90, 39.234680320625145)	(95, 39.210840788370206)	(100, 39.182872482474544)	(105, 39.152921370115095)	(110, 39.118490082637194)	(115, 39.076240571318124)	(120, 39.025056240429116)	(125, 38.96117004546521)	(130, 38.90873251777683)	(135, 38.830284966504635)	(140, 38.744851544197196)	(145, 38.66368940233133)	(150, 38.60222311928865)
CHa_47_T0_B_TWS042_10_LPART12_1	(1, 39.187643305720684)	(2, 39.03369462268698)	(3, 39.1450611657323)	(4, 39.35044272198563)	(5, 39.252361685362274)	(6, 39.29782466041094)	(7, 39.30100322050784)	(8, 39.17935318698541)	(9, 39.36291197364798)	(10, 39.36686498246961)	(15, 39.57186445029375)	(20, 39.63822140418051)	(25, 39.581294636571755)	(30, 39.564642945226105)	(35, 39.57633566865722)	(40, 39.59221834433142)	(45, 39.56453056029973)	(50, 39.57734205421271)	(55, 39.543620000221516)	(60, 39.51193775961538)	(65, 39.51584275596762)	(70, 39.497856639758275)	(75, 39.4884493280517)	(80, 39.46251596502506)	(85, 39.45449047101076)	(90, 39.4286642015658)	(95, 39.423171523062976)	(100, 39.39294938076795)	(105, 39.3763973526619)	(110, 39.38077046256947)	(115, 39.35484542224787)	(120, 39.32608066909014)	(125, 39.30218969627193)	(130, 39.26068333225013)	(135, 39.20105961918374)	(140, 39.12813232249398)	(145, 39.04936025296264)	(150, 39.04670207950582)
CHa_47_T0_B_TWS042_10_LPART12_2	(1, 38.70051330856415)	(2, 38.776616334521485)	(3, 39.17025174655317)	(4, 39.14095997252137)	(5, 39.347555623673706)	(6, 39.42939168392453)	(7, 39.43346512364477)	(8, 39.415197374343315)	(9, 39.58018141210897)	(10, 39.505547992974435)	(15, 39.53283846894232)	(20, 39.53347348511913)	(25, 39.5148934796362)	(30, 39.5100891906417)	(35, 39.47055596277831)	(40, 39.43618261283514)	(45, 39.41724850235594)	(50, 39.42765414161391)	(55, 39.40690765466473)	(60, 39.365351583686575)	(65, 39.33691388389293)	(70, 39.31869227878037)	(75, 39.29227454982912)	(80, 39.24495619176333)	(85, 39.19886253200751)	(90, 39.18105517180718)	(95, 39.136954727379006)	(100, 39.1281950826817)	(105, 39.089086990569285)	(110, 39.04967186543958)	(115, 38.98594694779884)	(120, 38.92667027234777)	(125, 38.902748351580016)	(130, 38.839492083580815)	(135, 38.76698144352282)	(140, 38.681395465564904)	(145, 38.59113262135871)	(150, 38.56292729020592)
CHa_47_T0_B_TWS042_10_LPART13_1	(1, 38.98932222768308)	(2, 38.719841451086246)	(3, 38.767554263197844)	(4, 38.84912501294091)	(5, 38.80941795197234)	(6, 38.90019038379207)	(7, 38.75347239248687)	(8, 38.74384774403899)	(9, 38.82386563890693)	(10, 38.86136691449193)	(15, 39.223071797655145)	(20, 39.317284372904496)	(25, 39.27877344333509)	(30, 39.2295412159675)	(35, 39.21984542481489)	(40, 39.23336623954262)	(45, 39.22479356586108)	(50, 39.206466439286665)	(55, 39.179331119679276)	(60, 39.143999531387216)	(65, 39.11260632658838)	(70, 39.095974633531)	(75, 39.07488489379208)	(80, 39.0523491736711)	(85, 39.02708405412365)	(90, 38.99998439482323)	(95, 38.98747852687804)	(100, 38.953046848338694)	(105, 38.91863257694197)	(110, 38.890918060968716)	(115, 38.85859359532474)	(120, 38.82412898039508)	(125, 38.782157207027396)	(130, 38.7340761603981)	(135, 38.679273379889814)	(140, 38.631360924766334)	(145, 38.57310830541343)	(150, 38.5361763087105)
CHa_47_T0_B_TWS042_10_LPART13_2	(1, 38.389758968037285)	(2, 38.493827717342505)	(3, 38.85690047017934)	(4, 38.911197446942246)	(5, 39.07057162896706)	(6, 39.09838003333389)	(7, 39.11550482615031)	(8, 39.1081965075913)	(9, 39.2967668634339)	(10, 39.19970270041453)	(15, 39.21546886848087)	(20, 39.198977120056426)	(25, 39.154397915760896)	(30, 39.12395775106795)	(35, 39.078863396123424)	(40, 39.033188732880646)	(45, 38.97496732292821)	(50, 38.92771411122986)	(55, 38.87439833156007)	(60, 38.83732708311693)	(65, 38.78989566614537)	(70, 38.73886244443638)	(75, 38.68921323225843)	(80, 38.63514705771206)	(85, 38.58190151976409)	(90, 38.52757503040952)	(95, 38.474334684550385)	(100, 38.44046739461449)	(105, 38.40448367386374)	(110, 38.35346360726795)	(115, 38.30270791498664)	(120, 38.237856421387754)	(125, 38.18564128767095)	(130, 38.152994890915316)	(135, 38.12675171691335)	(140, 38.09523554351212)	(145, 38.043534694090134)	(150, 37.997078680408585)
CHa_47_T0_B_TWS042_10_LPART14_1	(1, 38.72796068247938)	(2, 38.798891056570945)	(3, 38.78998909762685)	(4, 38.69984129167207)	(5, 38.7336275264025)	(6, 38.68363674261682)	(7, 38.63908666838571)	(8, 38.60892529739789)	(9, 38.65951107081442)	(10, 38.64908043797965)	(15, 39.099253272467024)	(20, 39.21872659272394)	(25, 39.180072587149155)	(30, 39.11385813517148)	(35, 39.11422464735863)	(40, 39.13484209637138)	(45, 39.12768119513182)	(50, 39.124593445104225)	(55, 39.10242199240042)	(60, 39.03113018854567)	(65, 39.00156222102483)	(70, 38.988206801087216)	(75, 38.965698413466235)	(80, 38.94979395799072)	(85, 38.91738499957383)	(90, 38.89903387724583)	(95, 38.878840931440756)	(100, 38.843617906644724)	(105, 38.804852580946616)	(110, 38.77569388040875)	(115, 38.73597868345434)	(120, 38.691982155823986)	(125, 38.641862254522074)	(130, 38.58061298330753)	(135, 38.51338981913149)	(140, 38.46065513685066)	(145, 38.398909767317704)	(150, 38.361808446897406)
CHa_47_T0_B_TWS042_10_LPART14_2	(1, 38.55422141352295)	(2, 38.71666747548789)	(3, 39.00207548882766)	(4, 39.00412208032258)	(5, 39.17617523321188)	(6, 39.21219453258188)	(7, 39.20882074493083)	(8, 39.170858792166186)	(9, 39.35822078370436)	(10, 39.214397948679235)	(15, 39.21055274143818)	(20, 39.19106271817371)	(25, 39.14122168949622)	(30, 39.10148855581166)	(35, 39.04409873274595)	(40, 38.99366579838777)	(45, 38.92688980627041)	(50, 38.8684194210973)	(55, 38.80080880067146)	(60, 38.766622956703955)	(65, 38.7117586332982)	(70, 38.65281805121049)	(75, 38.58858038704494)	(80, 38.54194566799689)	(85, 38.46280527658668)	(90, 38.39200258280647)	(95, 38.33727852175828)	(100, 38.290296940638065)	(105, 38.243344541583205)	(110, 38.18490045194943)	(115, 38.11395697160429)	(120, 38.03002650180123)	(125, 37.965398947438615)	(130, 37.9292223242041)	(135, 37.8961540935782)	(140, 37.87304456446232)	(145, 37.826789174846056)	(150, 37.77905476778301)
