Sample	Unique Reads	Duplicate Reads
CHa_47_T0_B_TWS042_10_LPART10_1	470190166.0	229915818.0
CHa_47_T0_B_TWS042_10_LPART10_2	470834180.0	229271804.0
CHa_47_T0_B_TWS042_10_LPART11_1	118587189.0	23884608.0
CHa_47_T0_B_TWS042_10_LPART11_2	118176270.0	24295527.0
CHa_47_T0_B_TWS042_10_LPART12_1	231038956.0	68166650.0
CHa_47_T0_B_TWS042_10_LPART12_2	229558626.0	69646980.0
CHa_47_T0_B_TWS042_10_LPART13_1	435747057.0	193787625.0
CHa_47_T0_B_TWS042_10_LPART13_2	429929809.0	199604873.0
CHa_47_T0_B_TWS042_10_LPART14_1	402825117.0	158403151.0
CHa_47_T0_B_TWS042_10_LPART14_2	399581846.0	161646422.0
CHa_47_T0_B_TWS042_10_LPART15_1	245555989.0	76169550.0
CHa_47_T0_B_TWS042_10_LPART15_2	244782545.0	76942994.0
CHa_47_T0_B_TWS042_10_LPART16_1	169630769.0	30602248.0
CHa_47_T0_B_TWS042_10_LPART16_2	169305897.0	30927120.0
CHa_47_T0_B_TWS042_10_LPART17_1	470619140.0	230461798.0
CHa_47_T0_B_TWS042_10_LPART17_2	469999318.0	231081620.0
CHa_47_T0_B_TWS042_10_LPART18_1	409320290.0	178781526.0
CHa_47_T0_B_TWS042_10_LPART18_2	407614650.0	180487166.0
CHa_47_T0_B_TWS042_10_LPART19_1	129594511.0	26694117.0
CHa_47_T0_B_TWS042_10_LPART19_2	129091247.0	27197381.0
CHa_47_T0_B_TWS042_10_LPART1_1	436477164.0	204153541.0
CHa_47_T0_B_TWS042_10_LPART1_2	430805276.0	209825429.0
CHa_47_T0_B_TWS042_10_LPART20_1	429958971.0	190523963.0
CHa_47_T0_B_TWS042_10_LPART20_2	431487796.0	188995138.0
CHa_47_T0_B_TWS042_10_LPART21_1	405305167.0	176907872.0
CHa_47_T0_B_TWS042_10_LPART21_2	405263781.0	176949258.0
CHa_47_T0_B_TWS042_10_LPART22_1	387475472.0	161604578.0
CHa_47_T0_B_TWS042_10_LPART22_2	388396514.0	160683536.0
CHa_47_T0_B_TWS042_10_LPART23_1	502168462.0	265643544.0
CHa_47_T0_B_TWS042_10_LPART23_2	503333689.0	264478317.0
CHa_47_T0_B_TWS042_10_LPART24_1	264098355.0	85002062.0
CHa_47_T0_B_TWS042_10_LPART24_2	262983443.0	86116974.0
CHa_47_T0_B_TWS042_10_LPART25_1	84672094.0	18844298.0
CHa_47_T0_B_TWS042_10_LPART25_2	84317584.0	19198808.0
CHa_47_T0_B_TWS042_10_LPART26_1	18952055.0	1331504.0
CHa_47_T0_B_TWS042_10_LPART26_2	18854853.0	1428706.0
CHa_47_T0_B_TWS042_10_LPART27_1	229629117.0	57719614.0
CHa_47_T0_B_TWS042_10_LPART27_2	228777910.0	58570821.0
CHa_47_T0_B_TWS042_10_LPART28_1	281007517.0	91144741.0
CHa_47_T0_B_TWS042_10_LPART28_2	280252366.0	91899892.0
CHa_47_T0_B_TWS042_10_LPART29_1	185934863.0	55111801.0
CHa_47_T0_B_TWS042_10_LPART29_2	185506952.0	55539712.0
CHa_47_T0_B_TWS042_10_LPART2_1	224572258.0	60234521.0
CHa_47_T0_B_TWS042_10_LPART2_2	223326361.0	61480418.0
CHa_47_T0_B_TWS042_10_LPART30_1	36277314.0	3412799.0
CHa_47_T0_B_TWS042_10_LPART30_2	36164254.0	3525859.0
CHa_47_T0_B_TWS042_10_LPART31_1	69718686.0	6328842.0
CHa_47_T0_B_TWS042_10_LPART31_2	69407360.0	6640168.0
CHa_47_T0_B_TWS042_10_LPART32_1	469603540.0	216402713.0
CHa_47_T0_B_TWS042_10_LPART32_2	466310622.0	219695631.0
