Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CHa_47_T0_B_TWS042_10_LPART10_1	(1.0, 47.36694143146254)	(2.0, 25.36134881957691)	(3.0, 12.824710929746091)	(4.0, 6.300860294674145)	(5.0, 3.197695911320407)	(6.0, 1.6644972071844604)	(7.0, 0.9393567569274168)	(8.0, 0.6432964664880203)	(9.0, 0.3621962788706151)	('>10', 1.2594950470331692)	('>50', 0.06835392016351222)	('>100', 0.01012806557856624)	('>500', 0.0)	('>1k', 0.0011188709741796021)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART10_2	(1.0, 47.79530040957914)	(2.0, 25.087955584769333)	(3.0, 12.414712187368412)	(4.0, 6.197416310751871)	(5.0, 3.0895099938195942)	(6.0, 1.6612686006871769)	(7.0, 0.9073053157715777)	(8.0, 0.5800459547512122)	(9.0, 0.37412516566735926)	('>10', 1.2316544598333785)	('>50', 0.05899971895293383)	('>100', 0.021156731017457825)	('>500', 0.00634385005744082)	('>1k', 0.01997609434395725)	('>5k', 0.0015228794003416684)	('>10k+', 0.552706743228795)
CHa_47_T0_B_TWS042_10_LPART11_1	(1.0, 70.77456831257727)	(2.0, 19.197220626757392)	(3.0, 6.092920084051274)	(4.0, 2.093232791981011)	(5.0, 0.8813129100322413)	(6.0, 0.41078564016762903)	(7.0, 0.20648215691241714)	(8.0, 0.11832627699063286)	(9.0, 0.05216586287246184)	('>10', 0.17195688406333448)	('>50', 0.001028453594311276)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART11_2	(1.0, 70.71585620412694)	(2.0, 18.887167057486984)	(3.0, 5.930726523156679)	(4.0, 2.0636496384521763)	(5.0, 0.848107506342477)	(6.0, 0.3943579231229444)	(7.0, 0.18630351029272887)	(8.0, 0.09767637363513573)	(9.0, 0.055838722426192464)	('>10', 0.1899187552347562)	('>50', 0.0)	('>100', 0.011049415134423304)	('>500', 0.014420444479127398)	('>1k', 0.006403844508261695)	('>5k', 0.0)	('>10k+', 0.5985240816011735)
CHa_47_T0_B_TWS042_10_LPART12_1	(1.0, 61.6826437955777)	(2.0, 22.22013819060379)	(3.0, 8.769228039955026)	(4.0, 3.619653716154753)	(5.0, 1.627073238796578)	(6.0, 0.7866783527092112)	(7.0, 0.4104370875924742)	(8.0, 0.24731347211709181)	(9.0, 0.14120757962280778)	('>10', 0.4803919359392666)	('>50', 0.012146092654483687)	('>100', 0.003088498276822689)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART12_2	(1.0, 61.23300818978995)	(2.0, 22.147928953622138)	(3.0, 8.779402752317173)	(4.0, 3.5866950829146345)	(5.0, 1.6250379437555182)	(6.0, 0.7693871738510687)	(7.0, 0.42807712843013)	(8.0, 0.24594536214799934)	(9.0, 0.15337356556184123)	('>10', 0.4389282320893331)	('>50', 0.012091356808100412)	('>100', 0.005441891811726876)	('>500', 0.004514280170317274)	('>1k', 0.023153873879280723)	('>5k', 0.0)	('>10k+', 0.5470142128507925)
CHa_47_T0_B_TWS042_10_LPART13_1	(1.0, 50.38545240605949)	(2.0, 24.37256093455978)	(3.0, 12.176901851574538)	(4.0, 5.766958055289588)	(5.0, 2.933757445987709)	(6.0, 1.5615468945341973)	(7.0, 0.8563787404282878)	(8.0, 0.5102726278149198)	(9.0, 0.3272049245515954)	('>10', 1.0554059644405844)	('>50', 0.037236036330148437)	('>100', 0.015196477404051705)	('>500', 0.0)	('>1k', 0.0011276410251261802)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART13_2	(1.0, 49.377780348642055)	(2.0, 24.45743795891931)	(3.0, 12.259628279351269)	(4.0, 5.8995798389562335)	(5.0, 2.84234552652869)	(6.0, 1.5339958213052547)	(7.0, 0.8231716248160008)	(8.0, 0.5422114330133424)	(9.0, 0.34760357811166703)	('>10', 1.0684005914110923)	('>50', 0.03994791784348569)	('>100', 0.018125090358206693)	('>500', 0.0010850074615794529)	('>1k', 0.025952017846385293)	('>5k', 0.03172405941105457)	('>10k+', 0.7310109060243579)
CHa_47_T0_B_TWS042_10_LPART14_1	(1.0, 53.47557722698956)	(2.0, 25.014939334284342)	(3.0, 11.14707617338389)	(4.0, 4.864951089860316)	(5.0, 2.2936753509456205)	(6.0, 1.1074356315449847)	(7.0, 0.6253078300972228)	(8.0, 0.35621058767624286)	(9.0, 0.24316780491485768)	('>10', 0.8212771544134402)	('>50', 0.040241207220021676)	('>100', 0.010140608669495907)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART14_2	(1.0, 52.907075792566836)	(2.0, 24.913846559390194)	(3.0, 11.220204099619991)	(4.0, 4.942355450931593)	(5.0, 2.272355239027591)	(6.0, 1.1338016649471176)	(7.0, 0.6202181388595864)	(8.0, 0.33055029532751545)	(9.0, 0.2339970464416267)	('>10', 0.84610430324259)	('>50', 0.037044305740133655)	('>100', 0.014173002907646193)	('>500', 0.007471505073767329)	('>1k', 0.023197757835564426)	('>5k', 0.011578653802561002)	('>10k+', 0.48602618428565236)
CHa_47_T0_B_TWS042_10_LPART15_1	(1.0, 60.110323258474416)	(2.0, 23.33000216772364)	(3.0, 9.019076304355515)	(4.0, 3.6925413484324023)	(5.0, 1.6630054280877886)	(6.0, 0.8356615941969338)	(7.0, 0.44943989851294935)	(8.0, 0.25629879138789424)	(9.0, 0.14519641724250376)	('>10', 0.48627880502789333)	('>50', 0.010131562830250903)	('>100', 0.0020444237278178577)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART15_2	(1.0, 60.160882398993785)	(2.0, 22.972223522053067)	(3.0, 8.818641352266603)	(4.0, 3.6548451998106355)	(5.0, 1.561547010674423)	(6.0, 0.8147000104838457)	(7.0, 0.40146397234947045)	(8.0, 0.22263557853583396)	(9.0, 0.16004929256755657)	('>10', 0.45692561956120653)	('>50', 0.014071870526444135)	('>100', 0.001011508666066257)	('>500', 0.009273052634769413)	('>1k', 0.040201984401385685)	('>5k', 0.0029138667052227337)	('>10k+', 0.7086137597696532)
CHa_47_T0_B_TWS042_10_LPART16_1	(1.0, 72.99043453988895)	(2.0, 18.611798313702604)	(3.0, 5.339231575186126)	(4.0, 1.6821530639988196)	(5.0, 0.6185894444018096)	(6.0, 0.28134329644030126)	(7.0, 0.1321966331758497)	(8.0, 0.07212655028203585)	(9.0, 0.06012154128666425)	('>10', 0.20881454377239692)	('>50', 0.0010133267292838487)	('>100', 0.0021771711351175295)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART16_2	(1.0, 73.0498109182305)	(2.0, 18.2539024492408)	(3.0, 5.230036877136151)	(4.0, 1.668399526576504)	(5.0, 0.6001468225340219)	(6.0, 0.26525224089422206)	(7.0, 0.1466260565039185)	(8.0, 0.07882015694101219)	(9.0, 0.06486940799296036)	('>10', 0.21902753002923064)	('>50', 0.004051359092993323)	('>100', 0.002092172413080026)	('>500', 0.009425771960876768)	('>1k', 0.008627610892249372)	('>5k', 0.0)	('>10k+', 0.39891109956145177)
