Sample	qualimap_raw_bamqc-avg_gc	qualimap_raw_bamqc-median_insert_size	qualimap_raw_bamqc-1_x_pc	qualimap_raw_bamqc-5_x_pc	qualimap_raw_bamqc-10_x_pc	qualimap_raw_bamqc-30_x_pc	qualimap_raw_bamqc-50_x_pc	qualimap_raw_bamqc-median_coverage	qualimap_raw_bamqc-mean_coverage	qualimap_raw_bamqc-percentage_aligned_on_target	qualimap_raw_bamqc-regions_size	qualimap_raw_bamqc-regions_mapped_reads	qualimap_raw_bamqc-general_error_rate	qualimap_raw_bamqc-percentage_aligned	qualimap_raw_bamqc-mapped_reads	qualimap_raw_bamqc-mapped_paired_reads	qualimap_raw_bamqc-total_reads	qualimap_raw_bamqc-ns	qualimap_raw_bamqc-duplication_rate	qualimap_all_molecules_bamqc-avg_gc	qualimap_all_molecules_bamqc-median_insert_size	qualimap_all_molecules_bamqc-1_x_pc	qualimap_all_molecules_bamqc-5_x_pc	qualimap_all_molecules_bamqc-10_x_pc	qualimap_all_molecules_bamqc-30_x_pc	qualimap_all_molecules_bamqc-50_x_pc	qualimap_all_molecules_bamqc-median_coverage	qualimap_all_molecules_bamqc-mean_coverage	qualimap_all_molecules_bamqc-percentage_aligned_on_target	qualimap_all_molecules_bamqc-regions_size	qualimap_all_molecules_bamqc-regions_mapped_reads	qualimap_all_molecules_bamqc-general_error_rate	qualimap_all_molecules_bamqc-percentage_aligned	qualimap_all_molecules_bamqc-mapped_reads	qualimap_all_molecules_bamqc-mapped_paired_reads	qualimap_all_molecules_bamqc-total_reads	qualimap_all_molecules_bamqc-ns	qualimap_all_molecules_bamqc-duplication_rate	qualimap_duplex_bamqc-avg_gc	qualimap_duplex_bamqc-median_insert_size	qualimap_duplex_bamqc-1_x_pc	qualimap_duplex_bamqc-5_x_pc	qualimap_duplex_bamqc-10_x_pc	qualimap_duplex_bamqc-30_x_pc	qualimap_duplex_bamqc-50_x_pc	qualimap_duplex_bamqc-median_coverage	qualimap_duplex_bamqc-mean_coverage	qualimap_duplex_bamqc-percentage_aligned_on_target	qualimap_duplex_bamqc-regions_size	qualimap_duplex_bamqc-regions_mapped_reads	qualimap_duplex_bamqc-general_error_rate	qualimap_duplex_bamqc-percentage_aligned	qualimap_duplex_bamqc-mapped_reads	qualimap_duplex_bamqc-mapped_paired_reads	qualimap_duplex_bamqc-total_reads	qualimap_duplex_bamqc-ns	qualimap_duplex_bamqc-duplication_rate	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CHa_47_T0_B_TWS042_10																				49.62070763203261	184	98.47224400187201	98.33607474295414	98.25660909190965	98.06871982728444	97.92350047950794	1085	1272.0817	79.86974369260984	120595501	1273.76415	0.36	100.0	1594.8018499999998	1273.76415	1594.8018499999998	6744112331	84.15	50.09983199134699	189	98.34301281272508	98.18480210136529	98.08009089825	97.67934211741448	96.61304446174987	498	598.941	93.09337886789768	120595501	778.574898	0.43	99.9939725341198	836.3375649999999	778.53201	836.387978	250869326	81.72						
CHa_47_T0_B_TWS042_10_LPART1	51.7469748403952	220	99.69143376252485	99.66286967869556	99.635820576756	99.53972992740417	99.23570283106996	781	1165.0764	87.45879353738303	120595501	1119.7124549999999	0.31	99.92295779828412	1280.274298	1119.129224	1281.2614099999998	4986897364	88.06																																												
CHa_47_T0_B_TWS042_10_LPART10	52.1679993083872	215	99.69180359390025	99.66322541335933	99.63635210570584	99.54043807985839	99.23294650933951	840	1275.6711	87.68689497428475	120595501	1226.487154	0.25	99.89287821884979	1398.712036	1225.742904	1400.2119679999998	5448920166	88.37																																												
CHa_47_T0_B_TWS042_10_LPART10_1																																																										32.840144773857844	51.0	150.0	150	18.181818181818183	700.1059839999999
CHa_47_T0_B_TWS042_10_LPART10_2																																																										32.74815672112105	51.0	150.0	150	18.181818181818183	700.1059839999999
CHa_47_T0_B_TWS042_10_LPART11	51.94299601942196	225	99.65312221722102	99.51388567969877	99.05130374639764	92.10483896907564	81.94038598504599	174	259.6009	87.5220649572931	120595501	249.242023	0.21	99.94125854957807	284.776214	249.123539	284.94359399999996	1109980703	73.32																																												
CHa_47_T0_B_TWS042_10_LPART11_1																																																										16.76444680669907	51.0	150.0	150	9.090909090909092	142.47179699999998
CHa_47_T0_B_TWS042_10_LPART11_2																																																										17.052867792755507	51.0	150.0	150	9.090909090909092	142.47179699999998
CHa_47_T0_B_TWS042_10_LPART12	51.95192258577713	223	99.67674250136413	99.62881119420865	99.57014980185704	98.50384965853743	95.16491829989579	365	545.7169	87.61046409392597	120595501	523.974594	0.22	99.9434937057964	598.073072	523.7335419999999	598.411212	2331495762	82.41																																												
CHa_47_T0_B_TWS042_10_LPART12_1																																																										22.782544685069283	51.0	150.0	150	18.181818181818183	299.205606
CHa_47_T0_B_TWS042_10_LPART12_2																																																										23.27729788746676	51.0	150.0	150	18.181818181818183	299.205606
CHa_47_T0_B_TWS042_10_LPART13	51.875379465804315	216	99.69240809406314	99.66096828106382	99.63530894904612	99.51956914213574	99.12426003354801	761	1145.6479	87.5417020976031	120595501	1101.325229	0.29	99.91965939058461	1258.05782	1100.762289	1259.069364	4849945226	87.55																																												
CHa_47_T0_B_TWS042_10_LPART13_1																																																										30.782676581698908	50.0	150.0	150	9.090909090909092	629.534682
CHa_47_T0_B_TWS042_10_LPART13_2																																																										31.706731783521775	51.0	150.0	150	9.090909090909092	629.534682
CHa_47_T0_B_TWS042_10_LPART14	51.86649931450769	209	99.6911136842493	99.65496971566128	99.62535667064395	99.44582924366308	98.6959820333596	672	1023.2533	87.7511066106079	120595501	984.1583599999999	0.32	99.9177971733954	1121.533845	983.6161569999999	1122.456536	4294323564	86.01																																												
CHa_47_T0_B_TWS042_10_LPART14_1																																																										28.22437153933616	50.0	150.0	150	18.181818181818183	561.228268
CHa_47_T0_B_TWS042_10_LPART14_2																																																										28.802259510341287	51.0	150.0	150	9.090909090909092	561.228268
CHa_47_T0_B_TWS042_10_LPART15	51.83539339700208	227	99.67913894233915	99.6340427326555	99.5879100000588	98.8504687251973	96.3092611556048	394	585.9007	87.47520417226204	120595501	562.480389	0.27	99.93253115662665	643.016949	562.190349	643.4510779999999	2501915646	82.93																																												
CHa_47_T0_B_TWS042_10_LPART15_1																																																										23.675320034096387	50.0	150.0	150	9.090909090909092	321.72553899999997
CHa_47_T0_B_TWS042_10_LPART15_2																																																										23.91572481057608	51.0	150.0	150	9.090909090909092	321.72553899999997
