gene	sample	impact	mutations	dnds	pvalue	lower	upper
TP53--exon_9_ENST00000269305_ENSE00003786593	P19_0038_BDO_01	missense	1	0.3468261718749994	0.20005399	0.019867954254150375	1.5321289062499996
TP53--exon_9_ENST00000269305_ENSE00003786593	P19_0038_BDO_01	nonsynonymous_splice	1	0.3250976562499994	0.16873103	0.01861595153808592	1.4371582031249996
KMT2D--exon_3_ENST00000301067_ENSE00001114128	P19_0038_BDO_01	nonsense	1	2.7437500000000035	0.39087427	0.15483001708984392	12.628393554687504
KMT2D--exon_3_ENST00000301067_ENSE00001114128	P19_0038_BDO_01	truncating	1	2.7437500000000035	0.39087427	0.15483001708984392	12.628393554687504
KMT2D--exon_3_ENST00000301067_ENSE00001114128	P19_0038_BDO_01	nonsynonymous_splice	1	0.2332033157348626	0.056589186	0.013487551808357229	1.0315431594848627
EP300--NR_Coact_CBP_IL	P19_0038_BDO_01	missense	4	1.5654296875000018	0.40626472	0.4846794700622563	3.6583251953125018
EP300--NR_Coact_CBP_IL	P19_0038_BDO_01	nonsynonymous_splice	4	1.4233886718750013	0.5072042	0.4406418609619145	3.326464843750001
FGFR3	P19_0038_BDO_01	missense	3	0.6843749999999997	0.48478884	0.17003234863281247	1.7830078124999997
FGFR3	P19_0038_BDO_01	nonsynonymous_splice	3	0.6252441406249996	0.37971288	0.1553994941711425	1.6292724609374996
EP300--HAT_p300/CBP_PHD	P19_0038_BDO_01	missense	1	0.1963866949081414	0.027280807	0.011456146053969853	0.8696044683456412
EP300--HAT_p300/CBP_PHD	P19_0038_BDO_01	essential_splice	1	2.0812500000000025	0.5144129	0.11872039794921888	9.244335937500002
EP300--HAT_p300/CBP_PHD	P19_0038_BDO_01	truncating	1	1.0460968017578125	0.9641273	0.059578850865364075	4.6490020751953125
EP300--HAT_p300/CBP_PHD	P19_0038_BDO_01	nonsynonymous_splice	2	0.3308593749999994	0.057314157	0.05512084960937491	1.0284912109374993
RBM10	P19_0038_BDO_01	missense	13	1.6749877929687516	0.08967042	0.9164752876758585	2.7827758789062518
RBM10	P19_0038_BDO_01	nonsense	3	4.094726562500008	0.048814535	1.0092421913146992	10.826904296875007
RBM10	P19_0038_BDO_01	essential_splice	1	2.7203125000000035	0.39152336	0.1549117279052736	12.053808593750004
RBM10	P19_0038_BDO_01	truncating	4	3.6329101562500052	0.03416437	1.1218159341812148	8.536474609375006
RBM10	P19_0038_BDO_01	nonsynonymous_splice	17	1.9195251464843768	0.01649183	1.1381862437725079	3.0102233886718768
CDKN1A	P19_0038_BDO_01	missense	2	0.8417968749999999	0.803691	0.13996826171875	2.6142578125
CDKN1A	P19_0038_BDO_01	nonsense	1	4.077246093750006	0.2548042	0.23242752075195341	18.181860351562506
CDKN1A	P19_0038_BDO_01	truncating	1	3.440625000000005	0.30552727	0.19593719482421904	15.299145507812504
CDKN1A	P19_0038_BDO_01	nonsynonymous_splice	3	1.1265625000000004	0.8396698	0.279872283935547	2.9380859375000004
KMT2D--exon_42_ENST00000301067_ENSE00001273052	P19_0038_BDO_01	missense	1	0.2628906249999994	0.08759791	0.01592712402343749	1.1619384765624992
KMT2D--exon_42_ENST00000301067_ENSE00001273052	P19_0038_BDO_01	nonsense	1	6.737106323242199	0.14738661	0.38117334693670335	30.622604370117198
KMT2D--exon_42_ENST00000301067_ENSE00001273052	P19_0038_BDO_01	truncating	1	6.737106323242199	0.14738661	0.38117334693670335	30.622604370117198
KMT2D--exon_42_ENST00000301067_ENSE00001273052	P19_0038_BDO_01	nonsynonymous_splice	2	0.5068359374999996	0.28065842	0.08471946716308587	1.5737304687499996
NOTCH2--exon_22_ENST00000256646_ENSE00000913342	P19_0038_BDO_01	missense	1	0.33857440948486267	0.18832779	0.019626203402876838	1.4976320266723626
NOTCH2--exon_22_ENST00000256646_ENSE00000913342	P19_0038_BDO_01	nonsynonymous_splice	1	0.3055664062499993	0.1418528	0.01750461578369139	1.3523193359374994
EP300	P19_0038_BDO_01	missense	44	3.318750000000005	0.0	2.4059356689453155	4.454003906250005
EP300	P19_0038_BDO_01	nonsense	3	2.3976562500000034	0.19070542	0.5882604980468757	6.383862304687503
