GENE	SAMPLE	Observed_synonymous	Estimated_synonymous
ARID1A	BladderlocationDome	153.0	162.85189410063177
ARID1A	BladderlocationDome_SexF	44.0	53.45736099997216
ARID1A	BladderlocationDome_SexM	109.0	109.93845503118412
ARID1A	BladderlocationTrigone	185.0	175.08248315149908
ARID1A	BladderlocationTrigone_SexF	63.0	56.87208258735994
ARID1A	BladderlocationTrigone_SexM	122.0	117.92329560421136
ARID1A	HistoryofsmokingNo	65.0	66.41741115978024
ARID1A	HistoryofsmokingUnknown	12.0	15.289244628355933
ARID1A	HistoryofsmokingYes	261.0	258.6385303783793
ARID1A	P19_0001_BDO_01	1.0	0.8952320252550401
ARID1A	P19_0001_BTR_01	2.0	1.3269112808834225
ARID1A	P19_0002_BDO_01	7.0	7.13814629435294
ARID1A	P19_0002_BTR_01	16.0	11.060144914183212
ARID1A	P19_0003_BDO_01	3.0	5.810012592557189
ARID1A	P19_0004_BDO_01	6.0	4.574605573626354
ARID1A	P19_0004_BTR_01	3.0	5.014958507983345
ARID1A	P19_0005_BDO_01	5.0	4.175729083350229
ARID1A	P19_0005_BTR_01	3.0	3.825267139283424
ARID1A	P19_0006_BDO_01	1.0	2.0345786084169006
ARID1A	P19_0007_BDO_01	3.0	2.1554982954430524
ARID1A	P19_0007_BTR_01	3.0	2.265127736119107
ARID1A	P19_0008_BDO_01	14.0	9.67565753229314
ARID1A	P19_0008_BTR_01	13.0	16.22212649860104
ARID1A	P19_0009_BDO_01	4.0	3.0810528353377835
ARID1A	P19_0009_BTR_01	12.0	6.7499245433483726
ARID1A	P19_0011_BDO_01	2.0	3.1115868834332887
ARID1A	P19_0011_BTR_01	7.0	3.4759641551976475
ARID1A	P19_0012_BDO_01	6.0	7.618187725030171
ARID1A	P19_0012_BTR_01	15.0	11.738499102313806
ARID1A	P19_0013_BDO_01	1.0	2.4424185984376656
ARID1A	P19_0013_BTR_01	3.0	1.5375128636647164
ARID1A	P19_0014_BDO_01	8.0	6.3603769999273005
ARID1A	P19_0014_BTR_01	5.0	4.629617095106837
ARID1A	P19_0015_BDO_01	3.0	4.2781132446836425
ARID1A	P19_0015_BTR_01	5.0	4.085324703911388
ARID1A	P19_0016_BDO_01	3.0	2.738000865284719
ARID1A	P19_0016_BTR_01	3.0	3.218464931118856
ARID1A	P19_0018_BDO_01	7.0	5.2521762177728775
ARID1A	P19_0018_BTR_01	6.0	4.752237171750194
ARID1A	P19_0019_BDO_01	0.0	2.425652830455065
ARID1A	P19_0019_BTR_01	2.0	2.7809044901882407
ARID1A	P19_0020_BDO_01	4.0	2.9127107133015
ARID1A	P19_0020_BTR_01	1.0	2.389638791029007
