sample	quality	in_duplex	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201
SC003_B1_1_H_2	duplex	False	0.025942574638258175	0.021080303075878996	0.023920530633784343	0.024872799241782623	0.025009127935336193	0.02490935085936634	0.02473185995819122	0.02466802434530546	0.02440016491851557	0.02410518644632774	0.023590108751135465	0.02287276083567971	0.0218302614272293	0.02059306988537162	0.019170910247171522	0.01763709713990655	0.015987484395598946	0.014351554486054541	0.012714498753378288	0.011131011703149254	0.009646523421575591	0.008310422792563794	0.007042597010749972	0.005948650848230299	0.0049657127682575285	0.0041168165035562745	0.0034006408534383763	0.002775866667655085	0.0022432514346009446	0.0018141766976586878	0.0014690982953758222	0.00115350909245269	0.000925633202124973	0.0007273361926582466	0.0005694775329814971	0.0004467483985113902	0.0003543972711366883	0.00027561367373785605	0.00020860557774513445	0.00015988930509806712	0.00012173302922400315	9.880659400982118e-05	6.968893229815194e-05	5.728726183862237e-05	4.208624737557296e-05	3.29291255150887e-05	2.32579364777567e-05	2.0524252144799962e-05	1.5380377465563267e-05	1.0009096122425076e-05	8.494119333334816e-06	6.328951660131824e-06	5.177505242208043e-06	4.064493753394375e-06	2.9947215598295826e-06	2.0626745289093594e-06	1.0041125230016835e-06	1.0217285321771517e-06	6.61401071769849e-07	8.647859049775265e-07	5.861326689292124e-07	5.957414012067405e-07	3.0267506674213427e-07	1.0249314429363278e-07	0.0	1.056960550528088e-07	0.0	0	0	0.0	1.1370333195074885e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC003_B1_1_H_2	duplex	True	0.0	0.010347970486567418	0.014373856353670684	0.0177403653886039	0.020745805489289067	0.023322247722890196	0.025533691050741762	0.02732494131318627	0.02871649874053782	0.029580930723876457	0.029838049189435452	0.029542258779370164	0.028777743198619404	0.027520719233340905	0.025974301070783194	0.024113972030540158	0.022064645632219663	0.01987390431806003	0.017729493108031878	0.015584530997353149	0.013542758664058172	0.011656090487187052	0.00997343651548779	0.008427280991612331	0.007041999667893387	0.005867646032219978	0.004806696256341337	0.003929933066579872	0.003183798990676021	0.0025828752798609336	0.0020728822054988535	0.0016513695408590112	0.001300537109397286	0.0010369904019446256	0.0008073016641272149	0.0006393073933530528	0.000505316824653683	0.0003894130930113802	0.00029710680638730675	0.00023650293045755763	0.0001777407282143347	0.0001349930797669919	0.00011011126753433295	8.159735450076839e-05	5.794065563349428e-05	4.4273835424090185e-05	3.582775975214301e-05	2.652010108597748e-05	1.8597701323155584e-05	1.2331206422827693e-05	1.2741179000002224e-05	7.1617084575175905e-06	6.02627659338969e-06	4.583365296380891e-06	3.2589616974616045e-06	2.6904450377078602e-06	2.008225046003367e-06	1.4861505922576752e-06	1.6062597457267763e-06	8.647859049775265e-07	9.768877815486874e-07	2.9787070060337027e-07	0.0	5.124657214681639e-07	3.1228379901966234e-07	1.056960550528088e-07	3.2189253129719046e-07	0	0	1.1210187657116085e-07	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC003_B1_1_H_2	allm	False	0.018766971953867277	0.018418005217922775	0.02093913798707907	0.021931258812198397	0.022293940412013696	0.022493936565638164	0.022595355133372096	0.02278746732216285	0.02276524392586031	0.022664469143188974	0.02232152708238248	0.021765123831119938	0.02084527668728142	0.01973093919341345	0.018419291186592582	0.01697973173569326	0.015417017163192862	0.013861710923278437	0.012297883339289226	0.010771260766678602	0.009352255995576294	0.0080623189193365	0.0068290733635341236	0.005775424622731023	0.004824224185470928	0.004000896757360176	0.003307503411472297	0.0026984715320703557	0.0021863132900350724	0.0017665654292235362	0.0014315665870997974	0.0011251697380555007	0.0009015873496004591	0.0007092589643334572	0.0005561934606078146	0.0004360250532896689	0.0003455684476290196	0.0002683110372069347	0.00020304692612258446	0.00015623798683260645	0.00011963191976598368	9.6183410098056e-05	6.782964260245026e-05	5.5948445141286794e-05	4.1581788931002735e-05	3.167678740825088e-05	2.2655789255031606e-05	2.029364257013929e-05	1.514496352476383e-05	9.688805046507474e-06	8.167422435898861e-06	6.079124620916094e-06	5.177505242208043e-06	3.8915365723988695e-06	2.9947215598295826e-06	2.0626745289093594e-06	9.128295663651669e-07	1.0217285321771517e-06	6.61401071769849e-07	7.686985822022458e-07	5.861326689292124e-07	5.957414012067405e-07	3.0267506674213427e-07	1.0249314429363278e-07	0.0	1.056960550528088e-07	0.0	0	0	0.0	1.1370333195074885e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC003_B1_1_H_2	allm	True	0.007175602684390896	0.013010268344523639	0.017355249000375956	0.020681905818188125	0.02346099301261156	0.02573766201661837	0.02767019587556089	0.02920549833632888	0.03035141973319308	0.03102164802701522	0.031106630858188437	0.030649895783929935	0.02976272793856729	0.02838284992529907	0.026725920131362133	0.024771337434753446	0.022635112864625745	0.020363747880836135	0.01814610852212094	0.0159442819338238	0.013837026090057469	0.011904194360414346	0.010186960162703639	0.008600507217111607	0.007183488250679987	0.005983565778416077	0.004899833698307416	0.004007328202164601	0.0032407371352418932	0.002630486548296085	0.0021104139137748785	0.0016797088952562008	0.0013245829619218	0.001055067630269415	0.0008205857365008974	0.0006500307385747742	0.0005141456481613517	0.00039671572954230153	0.00030266545800985674	0.0002401542487230183	0.00017984183767235417	0.00013761626367875707	0.00011197055723003463	8.293617119810397e-05	5.84451140780645e-05	4.552617353092801e-05	3.64299069748681e-05	2.6750710660638155e-05	1.883311526395502e-05	1.2651497498745296e-05	1.306787589743818e-05	7.41153549673332e-06	6.02627659338969e-06	4.756322477376396e-06	3.2589616974616045e-06	2.6904450377078602e-06	2.099508002639884e-06	1.4861505922576752e-06	1.6062597457267763e-06	9.608732277528073e-07	9.768877815486874e-07	2.9787070060337027e-07	0.0	5.124657214681639e-07	3.1228379901966234e-07	1.056960550528088e-07	3.2189253129719046e-07	0	0	1.1210187657116085e-07	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC003_B1_1_H_1	duplex	False	0.03532174830134345	0.021725212813574712	0.021257995491626366	0.018974131523719576	0.016344523026256993	0.013843711970536372	0.011817958016499446	0.010275862505518428	0.009067660556165286	0.008132157053830906	0.007408038121857534	0.006744069198465314	0.006152467929407316	0.005620485208762838	0.0050862296794126575	0.004608941335740276	0.004142642935143226	0.0037200281850844298	0.003313159798148697	0.0029270094505969057	0.002580513751083511	0.002273334227769909	0.001982542382641986	0.0017339734148541371	0.0014953997579843221	0.0012920954605071474	0.001119495606178301	0.0009749889144534755	0.000836399541801765	0.0007044667819759067	0.0006129903140167139	0.0005241206730250046	0.0004524655909825782	0.0003833490477296716	0.0003221940153119672	0.00027015397012680807	0.00023206846565596918	0.00018960064159059058	0.00016077857691308765	0.0001385953107541422	0.00011454896495727423	9.109346035235299e-05	7.787821339077014e-05	6.642955190259593e-05	5.765155198304534e-05	4.500190927807484e-05	3.746794181794982e-05	2.9785521797034163e-05	2.560509768516972e-05	2.2713241800968036e-05	1.6353534096696985e-05	1.2660034384225845e-05	9.83498215237995e-06	9.058575259444899e-06	6.531912674788194e-06	5.486806646822082e-06	6.515582893101223e-06	3.5302018956014373e-06	2.8903713585937756e-06	3.2065753130778403e-06	2.2639015520572715e-06	1.656730578423551e-06	9.352511329810368e-07	5.700578334360605e-07	7.719533161113319e-07	1.1757442814618748e-06	2.9838964718918794e-07	8.075819307010858e-07	3.072968008366264e-07	1.0391679255344854e-07	1.0540131816135494e-07	3.2065753130778404e-07	0.0	1.0985489498507416e-07	1.1133942059298057e-07	1.1282394620088697e-07	1.1430847180879339e-07	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	1.365763559273895e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6032876565389202e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC003_B1_1_H_1	duplex	True	0.0	0.01856157295012874	0.02502367283915392	0.029680358002970073	0.03316201591119297	0.035841130368628016	0.03795419521176835	0.03943698095566229	0.04042819425048458	0.040682147592652304	0.04039011468411617	0.03948662349199068	0.038122489941834266	0.03625744182295564	0.03404024641557432	0.03165792425577436	0.029072040975567048	0.026487193894234057	0.023918309916762887	0.021471168915344903	0.01905262433071202	0.0168820875631872	0.014860770856192307	0.013026142151545291	0.011392175288793377	0.009885055201134633	0.008572057620068164	0.007374642233782072	0.006364566556585728	0.005486272217603236	0.004683347243734153	0.004017055037765559	0.0034255309640391723	0.002910828121470726	0.002465893528897057	0.002094748766189984	0.001767839897547306	0.0014686857196700462	0.0012443694467385643	0.0010197503305830694	0.0008608823381273574	0.0007261289796464769	0.0005874059996900548	0.0004885870680741568	0.0004147838774770898	0.0003453333159624044	0.00027567195181139615	0.0002288069628953988	0.00018440034838609442	0.00014889791847301267	0.0001252256731293371	0.00010652955762336381	8.096157307839175e-05	6.669676651201909e-05	5.3888279567002594e-05	4.5224588119260804e-05	3.7570374084895365e-05	2.6002950548088635e-05	2.3560905923082595e-05	1.7725235758402506e-05	1.3764521436508212e-05	1.214935757510604e-05	8.043159743636917e-06	7.220732556856766e-06	7.1405681740298205e-06	4.017126294994739e-06	2.88443325616215e-06	2.6246412747785286e-06	2.3559421397474687e-06	2.4940030212827646e-06	1.791822408743034e-06	1.0688584376926135e-06	4.33481477508671e-07	6.59129369910445e-07	4.453576823719223e-07	3.3847183860266096e-07	3.4292541542638014e-07	3.4737899225009937e-07	5.86387615123031e-07	2.375240972650252e-07	0	0	0	2.494003021282765e-07	0	2.553384045599021e-07	0	0	0	1.3360730471157669e-07	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC003_B1_1_H_1	allm	False	0.021445877052563	0.01583791678635407	0.015026871457409737	0.013216137676947584	0.01140209191985419	0.009786271898133326	0.008524606243537044	0.0076217919950887615	0.006905466822556898	0.006367145177566661	0.0059397131419102085	0.005520974488213657	0.005129050820572717	0.0047533203582628214	0.004365462806261938	0.003999929550352751	0.0036209450079103243	0.0032859914949984015	0.00294470499584315	0.0026171592657146803	0.002325595467270646	0.002055429620938975	0.00180222744872885	0.0015868628652130437	0.0013745964866409381	0.0011911625644255909	0.0010366457165266523	0.0009031616274405319	0.0007817244636625719	0.0006561009376703159	0.0005752076527698878	0.0004931950355610983	0.00042365985608676225	0.00036078722754071007	0.0003030213670858559	0.00025561749537418853	0.00022036891934005878	0.00017865671880910454	0.00015359941107325227	0.000131825873982089	0.00010791462001554049	8.6604254914044e-05	7.468648333377137e-05	6.368614857918488e-05	5.551383510766011e-05	4.343128118490986e-05	3.5863169635802996e-05	2.8289119984264504e-05	2.451397136335851e-05	2.189675271661951e-05	1.5672136842667946e-05	1.1656495073281112e-05	9.598942580722831e-06	8.41726019682933e-06	6.368614857918489e-06	5.320539778736565e-06	6.261729014149227e-06	3.4440994103428658e-06	2.8027843477272974e-06	3.0284322401290715e-06	2.2639015520572715e-06	1.656730578423551e-06	9.352511329810368e-07	4.750481945300504e-07	7.719533161113319e-07	1.1757442814618748e-06	2.9838964718918794e-07	7.066341893634501e-07	3.072968008366264e-07	1.0391679255344854e-07	1.0540131816135494e-07	3.2065753130778404e-07	0.0	1.0985489498507416e-07	1.1133942059298057e-07	1.1282394620088697e-07	1.1430847180879339e-07	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	1.365763559273895e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6032876565389202e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC003_B1_1_H_1	allm	True	0.013875871248780447	0.02444886897734938	0.03125479687337055	0.03543835184974207	0.03810444701759577	0.03989857044103106	0.04124754698473075	0.042091051466091954	0.04259038798409296	0.04244715946891654	0.041858439664063496	0.04070971820224234	0.039145907050668866	0.03712460667345566	0.034761013288725044	0.03226693604116188	0.02959373890279995	0.026921230584320086	0.024286764719068432	0.021781019100227127	0.019307542614524886	0.017099992170018133	0.015041085790105442	0.013173252701186385	0.01151297856013676	0.00998598809721619	0.008654907509719813	0.007446469520795015	0.006419241634724921	0.005534638061908827	0.004721129904980979	0.004047980675229466	0.003454336698934988	0.0029333899416596875	0.0024850661771231683	0.0021092852409426033	0.0017795394438632165	0.0014796296424515324	0.0012515486125783998	0.0010265197673551228	0.0008675166830690911	0.000730618185084786	0.0005905977297470536	0.0004913304713975679	0.00041692159435247506	0.0003469039440555693	0.000277276723993543	0.00023030336470816846	0.00018549147470790564	0.00014971440755736121	0.00012590707038336615	0.00010753309693430854	8.119761265004887e-05	6.733808157463465e-05	5.40515773838723e-05	4.539085498734632e-05	3.782422796384736e-05	2.6089053033347208e-05	2.3648492933949072e-05	1.7903378831351276e-05	1.3764521436508212e-05	1.214935757510604e-05	8.043159743636917e-06	7.315742195762777e-06	7.1405681740298205e-06	4.017126294994739e-06	2.88443325616215e-06	2.7255890161161644e-06	2.3559421397474687e-06	2.4940030212827646e-06	1.791822408743034e-06	1.0688584376926135e-06	4.33481477508671e-07	6.59129369910445e-07	4.453576823719223e-07	3.3847183860266096e-07	3.4292541542638014e-07	3.4737899225009937e-07	5.86387615123031e-07	2.375240972650252e-07	0	0	0	2.494003021282765e-07	0	2.553384045599021e-07	0	0	0	1.3360730471157669e-07	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC002_B1_1_H_1	duplex	False	0.02504536146386425	0.014983142162810697	0.015653025643524814	0.014893109568343643	0.013568876052690327	0.012031390823958918	0.010592040289491286	0.009416645909299203	0.008447257585117239	0.007702464419004727	0.0070976529010172125	0.006611252801012997	0.006225214399005273	0.005860943284758251	0.005529929433287678	0.005220308965377646	0.004916953919200035	0.004607419348200851	0.004305156961256817	0.004025508199283309	0.003748740773392795	0.0034508452338134757	0.0031721047053531954	0.0029150278830846537	0.0026500144388917567	0.002412050942476696	0.0021862368061871243	0.0019737493229776016	0.0017629393559093405	0.001591543439021524	0.001427811295047135	0.0012790757411548636	0.0011420095352392267	0.0010185226203767203	0.0009027133735161609	0.0008095884902585892	0.0007148580926820846	0.0006277598882723722	0.000555653221185316	0.0004901176677781095	0.00043322991218948284	0.00038076837388924397	0.00033035699274056154	0.0003027461886624844	0.0002686425886762128	0.00023265936217021477	0.00020292639911825304	0.00016928765300245135	0.000153998002871559	0.00013756137634287661	0.00011757139672280295	9.734646378776348e-05	8.756937422950944e-05	7.087253058855312e-05	5.9748880633774695e-05	5.503465605607391e-05	4.8385224604568836e-05	4.029575670649921e-05	3.2121655087447286e-05	2.7967023620122024e-05	2.5890339481392095e-05	2.4043555898166332e-05	1.901984980344071e-05	1.7381492548007184e-05	1.2972959917735013e-05	1.2338838605300449e-05	1.0579215122787803e-05	9.019175639009541e-06	6.188367150631336e-06	6.720170083967894e-06	4.753383463528418e-06	4.9112821967043554e-06	2.674172945067675e-06	2.5238533510841828e-06	2.4632202375446227e-06	2.112053454961338e-06	2.431640490909435e-06	9.852880950178491e-07	8.981279943047317e-07	1.2126622707911988e-06	1.023183790980074e-06	6.214894137804894e-07	6.290685529729344e-07	8.488635895538392e-07	7.515979699174618e-07	3.2590298527513467e-07	5.49487591452262e-07	0.0	1.124238980212674e-07	1.1368708788667489e-07	2.2990055550416477e-07	2.3242693523497977e-07	0.0	2.3747969469660978e-07	0.0	0.0	0.0	0	1.250557966753424e-07	0.0	0	0	0.0	0	0.0	0	1.3516131559860237e-07	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC002_B1_1_H_1	duplex	True	0.0	0.013141823138942688	0.018025049888736343	0.02158927399210933	0.02421447811885462	0.026240260758768088	0.02782302502822503	0.02911910330496828	0.0301905270537184	0.031013761784092986	0.03158532867120271	0.031903219243161564	0.03197143275908343	0.03175588077726043	0.03128456442743904	0.030542273640449907	0.02949100787557196	0.028361517815088784	0.026985010976425177	0.02551486892579837	0.023999840686494175	0.022396937381013043	0.020773331656827744	0.01914748250744148	0.017602992890906388	0.016057732728553396	0.014572490506275508	0.013242342735672354	0.011971502992439948	0.010779620194934702	0.009648710309042812	0.008640016569008827	0.007719944440362236	0.006919082065693882	0.006168674020629633	0.00544174614878358	0.004878982431845886	0.004295100706738308	0.003786954793201103	0.0033236546462655945	0.002936641061681776	0.0025894583799339864	0.00226833909467915	0.001996946541665945	0.0017564086643051837	0.0015339596658170578	0.001343600742669744	0.0011552427122692357	0.0010258074363305254	0.0008697062223330629	0.0007701087542051433	0.000664346919534035	0.0005648492434054826	0.0004955620160980159	0.0004270655456462942	0.0003758343542749623	0.00031644800913255955	0.00027716154112852095	0.00023073931357479535	0.00019607233090855196	0.0001732186998635995	0.0001466891863103112	0.00012486252862593504	0.00010525908510467606	8.760853311533708e-05	7.853504031211502e-05	5.772019770993025e-05	5.437274456660038e-05	4.427733116226365e-05	3.9525210888600635e-05	3.085214927271275e-05	2.6830152741255274e-05	2.167002214106564e-05	1.7480021357508967e-05	1.3642450546400986e-05	1.4208359606103547e-05	1.1866405595638043e-05	8.079362379146362e-06	7.683983951273816e-06	5.456980218560395e-06	4.604327059410333e-06	3.6253549137195217e-06	3.145342764864672e-06	3.6076702556038167e-06	2.5769073254312974e-06	1.7381492548007183e-06	9.890776646140716e-07	1.4450892060261786e-06	1.2366628782339414e-06	6.821225273200494e-07	4.5980111100832954e-07	4.6485387046995955e-07	5.873832874144869e-07	5.936992367415244e-07	1.200030372137124e-07	2.425324541582398e-07	2.450588338890548e-07	0	1.250557966753424e-07	1.2631898654074987e-07	0	0	1.3010855613697237e-07	0	2.6526987173557474e-07	0	0.0	0	0	0	0	1.4147726492563988e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
