sample	unique_tags_number	unique_tags_number_duplex	D_eff	lost_fragments	lost_proportion
SC001_B1_1_H_2	16	256	256	195704	0.003736462736408151
SC001_B1_1_H_2	32	1024	463	108219	0.0020696140079262187
SC001_B1_1_H_2	32	1024	1024	48774	0.0009338358488152253
SC001_B1_1_H_2	64	4096	4096	12184	0.00023344153796362114
SC001_B1_1_H_2	96	9216	9216	5414	0.00010375036183726604
SC002_B1_1_H_2	16	256	256	245343	0.0037199462794179224
SC002_B1_1_H_2	32	1024	453	138824	0.0021082906356080407
SC002_B1_1_H_2	32	1024	1024	61142	0.0009296409841598562
SC002_B1_1_H_2	64	4096	4096	15273	0.0002323887474860457
SC002_B1_1_H_2	96	9216	9216	6787	0.00010328212029676179
SC003_B1_1_H_2	16	256	256	313441	0.003708504850360394
SC003_B1_1_H_2	32	1024	443	181371	0.0021492619210704395
SC003_B1_1_H_2	32	1024	1024	78091	0.0009265198511862688
SC003_B1_1_H_2	64	4096	4096	19506	0.00023159244967012083
SC003_B1_1_H_2	96	9216	9216	8668	0.00010292689717179483
