Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
CHa_47_T0_B_TWS042_10_chr1	(1, 13558273)	(2, 10356912)	(3, 10058073)	(4, 9126385)	(5, 8114604)	(6, 7248836)	(7, 6584554)	(8, 6063132)	(9, 5610252)	(10, 5208295)	(11, 4847290)	(12, 4495319)	(13, 4166875)	(14, 3852195)	(15, 3558735)
CHa_47_T0_B_TWS042_10_chr10	(1, 5958560)	(2, 4851244)	(3, 4665983)	(4, 4150837)	(5, 3606777)	(6, 3150336)	(7, 2802135)	(8, 2540203)	(9, 2319870)	(10, 2129818)	(11, 1963548)	(12, 1807351)	(13, 1661234)	(14, 1525031)	(15, 1397994)
CHa_47_T0_B_TWS042_10_chr11	(1, 7640534)	(2, 5782516)	(3, 5615258)	(4, 5106515)	(5, 4550467)	(6, 4074895)	(7, 3703967)	(8, 3412770)	(9, 3161745)	(10, 2934891)	(11, 2727082)	(12, 2529011)	(13, 2343456)	(14, 2166319)	(15, 2000220)
CHa_47_T0_B_TWS042_10_chr12	(1, 7523140)	(2, 6013757)	(3, 5830725)	(4, 5270426)	(5, 4665865)	(6, 4137556)	(7, 3732603)	(8, 3400633)	(9, 3120942)	(10, 2869207)	(11, 2640181)	(12, 2432143)	(13, 2227524)	(14, 2047608)	(15, 1871749)
CHa_47_T0_B_TWS042_10_chr13	(1, 3157329)	(2, 2736959)	(3, 2594547)	(4, 2260229)	(5, 1911746)	(6, 1628667)	(7, 1414798)	(8, 1255798)	(9, 1129460)	(10, 1022139)	(11, 926069)	(12, 841258)	(13, 762522)	(14, 692766)	(15, 626426)
CHa_47_T0_B_TWS042_10_chr14	(1, 4487056)	(2, 3731864)	(3, 3607421)	(4, 3228219)	(5, 2804441)	(6, 2447842)	(7, 2166754)	(8, 1946385)	(9, 1762497)	(10, 1604561)	(11, 1460581)	(12, 1330414)	(13, 1212723)	(14, 1101178)	(15, 998641)
CHa_47_T0_B_TWS042_10_chr15	(1, 4941261)	(2, 4013317)	(3, 3899202)	(4, 3527925)	(5, 3110108)	(6, 2750627)	(7, 2465120)	(8, 2237102)	(9, 2034749)	(10, 1859995)	(11, 1705419)	(12, 1554528)	(13, 1420255)	(14, 1292994)	(15, 1177602)
CHa_47_T0_B_TWS042_10_chr16	(1, 5637746)	(2, 4032137)	(3, 3904029)	(4, 3552123)	(5, 3168221)	(6, 2846360)	(7, 2596386)	(8, 2407004)	(9, 2247811)	(10, 2103697)	(11, 1969004)	(12, 1839084)	(13, 1715203)	(14, 1597313)	(15, 1482089)
CHa_47_T0_B_TWS042_10_chr17	(1, 7479228)	(2, 5183238)	(3, 5057323)	(4, 4657261)	(5, 4214877)	(6, 3835301)	(7, 3536026)	(8, 3304635)	(9, 3099883)	(10, 2911662)	(11, 2739133)	(12, 2568123)	(13, 2406304)	(14, 2246635)	(15, 2094192)
CHa_47_T0_B_TWS042_10_chr18	(1, 2569254)	(2, 2225982)	(3, 2116596)	(4, 1854949)	(5, 1574776)	(6, 1345491)	(7, 1174534)	(8, 1044518)	(9, 939568)	(10, 849092)	(11, 773094)	(12, 702350)	(13, 636566)	(14, 579525)	(15, 524433)
