gene	sample	impact	mutations	dnds	pvalue	lower	upper	flagged	flag_reason
EP300--HAT_KAT11	P19_0052_BTR_01	missense	24	7.687498474121108	0.0	4.96026207767428	11.323362731933608	False	
EP300--HAT_KAT11	P19_0052_BTR_01	nonsense	1	3.850000000000006	0.27117836	0.2190625000000003	17.162377929687505	False	
EP300--HAT_KAT11	P19_0052_BTR_01	essential_splice	1	7.443650817871108	0.13111663	0.42378720372915346	33.10466156005861	False	
EP300--HAT_KAT11	P19_0052_BTR_01	truncating	2	5.063281250000008	0.07080811	0.8384370994567882	15.78288574218751	False	
EP300--HAT_KAT11	P19_0052_BTR_01	nonsynonymous_splice	26	7.400048828125015	0.0	4.86062164902688	10.754541015625016	False	
KMT2D--exon_11_ENST00000301067_ENSE00001114139	P19_0052_BTR_01	nonsense	3	8.209374237060562	0.007239759	1.9922827974241262	22.421410369873062	False	
KMT2D--exon_11_ENST00000301067_ENSE00001114139	P19_0052_BTR_01	truncating	3	8.209374237060562	0.007239759	1.9922827974241262	22.421410369873062	False	
KMT2D--exon_11_ENST00000301067_ENSE00001114139	P19_0052_BTR_01	nonsynonymous_splice	3	0.9500244140624999	0.9288089	0.23582617759704588	2.4844482421875	False	
KMT2D	P19_0052_BTR_01	missense	11	1.3841804504394541	0.31175643	0.7145358754694467	2.3924812316894544	False	
KMT2D	P19_0052_BTR_01	nonsense	32	40.559375000000074	0.0	26.936081867218064	59.260546875000074	False	
KMT2D	P19_0052_BTR_01	essential_splice	3	16.20000000000003	0.0008922219	4.006115722656258	42.60991210937503	False	
KMT2D	P19_0052_BTR_01	truncating	35	35.21250000000006	0.0	24.061854591369674	50.01474609375006	False	
KMT2D	P19_0052_BTR_01	nonsynonymous_splice	46	5.056445312500007	0.0	3.681486091613775	6.774584960937506	False	
NOTCH2--EGF	P19_0052_BTR_01	missense	3	1.0389404296875	0.9474561	0.2581916856765747	2.7100830078125	False	
NOTCH2--EGF	P19_0052_BTR_01	nonsense	1	5.015820312500008	0.20345634	0.28497792243957565	22.410839843750008	False	
NOTCH2--EGF	P19_0052_BTR_01	truncating	1	3.348342895507818	0.31459004	0.1909355768561366	14.86506652832032	False	
NOTCH2--EGF	P19_0052_BTR_01	nonsynonymous_splice	4	1.2574218750000004	0.66035056	0.38946475982666023	2.9395507812500004	False	
KMT2D--SET	P19_0052_BTR_01	missense	2	0.8156372070312499	0.766481	0.1358808135986328	2.5386596679687496	False	
KMT2D--SET	P19_0052_BTR_01	nonsense	1	4.299606323242195	0.24188179	0.24301694504916707	19.560836791992195	False	
KMT2D--SET	P19_0052_BTR_01	truncating	1	2.518554306030277	0.42430633	0.14351192351430675	11.244140243530277	False	
KMT2D--SET	P19_0052_BTR_01	nonsynonymous_splice	3	1.0558563232421874	0.92597336	0.26176131218671794	2.762399291992187	False	
EP300--exon_29_ENST00000263253_ENSE00000655428	P19_0052_BTR_01	missense	1	0.4344728469848628	0.33486378	0.024922873526811586	1.922509956359863	False	
EP300--exon_29_ENST00000263253_ENSE00000655428	P19_0052_BTR_01	nonsynonymous_splice	1	0.4056886672973627	0.28993464	0.023138100281357744	1.7936281204223627	False	
EP300	P19_0052_BTR_01	missense	24	2.528906250000004	0.00010436773	1.632283859252932	3.722753906250004	False	
EP300	P19_0052_BTR_01	nonsense	5	5.1058593750000085	0.0043952465	1.8040012741088893	11.263085937500009	False	
EP300	P19_0052_BTR_01	essential_splice	1	4.312500000000007	0.23988098	0.24529296875000037	19.197143554687507	False	
EP300	P19_0052_BTR_01	truncating	6	4.912402343750008	0.0021787286	1.929189980030063	10.149829101562508	False	
EP300	P19_0052_BTR_01	nonsynonymous_splice	30	2.800000000000004	2.2649765e-06	1.8933862304687523	3.9785888671875043	False	
