Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423
CHa_47_T0_B_TWS042_10_chr1	13558273	10356912	10058073	9126385	8114604	7248836	6584554	6063132	5610252	5208295	4847290	4495319	4166875	3852195	3558735	3273077	3011127	2761489	2529653	2313151	2114081	1927857	1759839	1604094	1460554	1326923	1208181	1098139	998502	907659	825209	750772	682349	619670	564009	513592	468016	426339	386674	353963	322019	292506	267453	244871	224264	205918	188476	171338	157628	144495	132808	122607	112260	103694	95493	87900	81197	75439	69618	63764	59761	55436	51156	48067	44551	41725	38213	35727	33383	31283	29097	27005	25499	24062	22795	20963	20003	18654	17501	16657	15755	14938	14040	13326	12705	12038	11434	10588	10275	9619	9213	8859	8176	8046	7620	7131	7031	6550	6248	5923	5695	5493	5115	5120	4784	4616	4378	4194	4141	3938	3821	3563	3566	3303	3219	3184	2934	2846	2796	2706	2519	2522	2353	2260	2215	2183	2070	1972	1986	1910	1869	1776	1616	1595	1549	1569	1412	1451	1362	1357	1245	1187	1237	1120	1103	1133	1058	1026	999	932	973	926	924	834	859	825	783	748	738	753	682	681	643	617	604	599	561	563	485	511	487	480	495	429	437	434	424	420	371	381	377	372	314	333	288	290	293	305	299	294	289	278	241	265	229	228	205	231	213	212	189	175	176	154	183	144	165	166	186	131	136	133	115	140	125	102	128	114	113	92	96	90	67	114	81	97	96	59	77	72	72	80	68	60	74	73	59	61	45	47	39	49	42	40	35	39	40	40	44	33	33	29	33	32	23	23	32	28	37	31	32	22	20	16	12	15	18	22	22	18	28	28	20	10	13	13	9	11	11	11	15	5	10	12	15	5	10	7	6	8	6	4	7	1	8	7	7	5	7	3	7	2	3	3	8	4	1	5	3	5	1	4	1	3	1	4	1	2	2	2	1	1	4	2	1	2	2	1	2	2	3	1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1																																																																										
CHa_47_T0_B_TWS042_10_chr10	5958560	4851244	4665983	4150837	3606777	3150336	2802135	2540203	2319870	2129818	1963548	1807351	1661234	1525031	1397994	1281023	1170987	1067824	972935	884612	803571	729723	662374	601491	543652	492328	445567	403498	364533	329840	297546	269092	243696	219875	199150	180194	163416	147738	133338	121125	109211	99717	90297	81952	74194	67812	62080	56303	51443	46826	42567	38858	35738	32461	30031	27231	24985	23158	21076	19420	18009	16639	15205	13930	13051	12128	11157	10286	9366	8916	8156	7631	7146	6459	6165	5731	5448	5135	4562	4446	4194	3873	3539	3407	3217	3021	2809	2582	2475	2323	2194	2135	1988	1887	1830	1639	1604	1401	1437	1216	1288	1184	1126	1062	1024	954	880	833	818	726	702	669	628	611	565	502	545	515	484	460	441	424	387	393	376	333	358	297	294	278	256	271	260	249	253	217	197	212	192	209	154	197	171	151	136	152	134	122	125	135	119	115	97	113	97	92	96	89	95	74	81	64	62	77	50	56	54	44	59	53	57	50	45	45	41	42	32	38	36	39	37	26	33	20	32	22	23	25	26	19	19	18	10	16	16	17	18	19	19	17	17	16	16	17	9	14	7	14	3	8	4	7	8	8	2	5	7	4	2	5	2	5	1	3	4	3	6	4	2	3	2	2	3	3	2	5	2	1	3	2	1	3	1	2	1	1	4	1	1	1	1	1																																																																																																																																																																											
CHa_47_T0_B_TWS042_10_chr11	7640534	5782516	5615258	5106515	4550467	4074895	3703967	3412770	3161745	2934891	2727082	2529011	2343456	2166319	2000220	1839603	1687467	1548448	1421419	1296360	1187067	1083270	986528	898773	818889	743881	677404	616478	558378	508975	461969	421031	383016	347585	315720	287518	261094	237525	216148	197175	180206	164039	149198	135788	124013	113675	103677	94750	86694	79578	73086	66858	61455	56247	51678	47775	43852	40646	37641	34492	31886	29621	27570	25383	23514	21882	20757	18966	17822	16554	15548	14545	13537	12892	12099	11361	10812	10216	9526	9036	8366	8010	7742	7180	6959	6557	6139	5884	5798	5480	5130	4965	4799	4578	4350	4204	4036	3953	3721	3755	3454	3524	3331	3110	3010	2953	2957	2754	2649	2585	2537	2461	2314	2299	2295	2165	2044	2032	2066	1965	1928	1939	1755	1717	1763	1618	1500	1591	1497	1505	1502	1380	1372	1314	1276	1296	1258	1288	1176	1164	1137	1101	1047	1070	1028	1035	980	969	850	889	920	837	863	809	807	753	751	722	774	681	686	651	680	642	627	622	545	566	577	534	532	521	523	497	487	498	459	478	467	422	427	397	398	386	406	396	355	316	309	324	332	276	289	291	283	300	284	284	261	251	232	251	259	239	229	233	206	182	196	175	160	175	185	147	158	150	136	133	166	142	143	135	142	135	125	127	124	109	98	105	87	111	88	83	109	94	89	88	87	91	91	62	75	66	77	72	68	67	62	77	79	47	48	53	64	53	55	54	44	30	45	33	39	46	46	29	42	27	40	29	43	29	23	34	24	31	31	25	23	25	18	32	22	19	12	16	16	19	16	22	17	20	18	16	12	18	12	18	12	8	14	10	13	16	17	8	13	11	3	13	15	7	4	6	5	10	7	11	3	9	9	8	3	9	2	8	2	6	3	4	9	6	2	1	3	6	7	3	3	5	5	1	4	1	3	1	2	2	2	2	2	2	5	2	1	3	2	3	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1																																						
CHa_47_T0_B_TWS042_10_chr12	7523140	6013757	5830725	5270426	4665865	4137556	3732603	3400633	3120942	2869207	2640181	2432143	2227524	2047608	1871749	1710502	1555958	1414447	1288002	1168361	1057976	958870	866748	784056	709004	639381	577231	519055	469682	424422	384132	345067	311900	282072	254416	229038	206722	186978	169129	152797	139126	124977	113409	103586	93480	84563	77075	69948	63647	57771	52938	48188	43886	40167	36829	33707	31042	28753	26296	23884	22120	20576	18668	17501	16238	14814	13721	12901	11909	11267	10475	9727	8937	8481	7960	7519	7018	6551	6268	5748	5665	5360	5073	4732	4498	4331	4041	3897	3608	3623	3348	3118	3043	2939	2867	2631	2550	2492	2291	2288	2153	2014	2063	1916	1786	1833	1713	1708	1573	1593	1514	1468	1423	1319	1341	1268	1251	1222	1205	1123	1092	1034	1069	1028	921	960	893	943	918	852	798	782	753	791	753	720	686	662	698	632	630	608	587	575	541	585	521	562	521	488	448	439	506	456	442	386	398	387	407	366	388	327	378	329	396	320	336	296	305	298	293	264	233	273	245	230	222	226	244	220	219	215	185	174	178	195	188	167	170	154	158	158	152	146	139	139	125	119	134	122	109	104	101	82	91	95	88	92	87	85	89	62	71	75	65	71	53	74	47	50	57	45	50	51	46	37	41	30	38	41	35	30	46	28	35	29	22	21	27	29	22	21	20	23	22	22	15	22	12	20	20	13	13	12	11	11	7	15	11	12	15	10	12	9	6	10	8	8	10	12	6	7	6	4	5	2	9	5	3	2	2	6	4	2	2	2	2	1	4	3	5	2	3	3	1	2	1	4	4	1	2	1	1	1	1	2	1	1	1	1	1																																																																																																																
CHa_47_T0_B_TWS042_10_chr13	3157329	2736959	2594547	2260229	1911746	1628667	1414798	1255798	1129460	1022139	926069	841258	762522	692766	626426	566870	511839	461703	415926	374921	336929	302338	271957	243262	219496	196124	175653	158358	141455	127247	114288	103011	91482	82575	73731	66810	60027	53487	48205	43747	39461	35883	32553	29137	26790	24108	21808	19799	17986	16519	14946	13706	12381	11492	10452	9386	8797	7991	7305	6685	6186	5707	5314	4812	4416	4145	3788	3477	3317	3089	2822	2513	2492	2385	2104	1961	1778	1685	1616	1478	1447	1335	1164	1214	1087	997	961	891	844	733	729	719	670	603	595	567	526	492	504	431	399	387	385	323	320	272	307	294	286	288	243	221	225	196	215	187	190	154	164	149	151	126	128	113	105	122	100	84	89	91	76	73	79	63	64	53	62	58	53	45	42	50	39	41	32	33	34	39	19	23	27	23	21	24	24	23	19	25	17	13	20	15	10	13	8	11	18	10	7	7	7	9	10	6	9	5	4	3	5	6	3	2	5	4	2	1	4	4	1	2	5	7	1	2	4	1	5	2	2	2	2	1	1	1	2	3	1	1	1	1	1	1																																																																																																																																																																																																																			
CHa_47_T0_B_TWS042_10_chr14	4487056	3731864	3607421	3228219	2804441	2447842	2166754	1946385	1762497	1604561	1460581	1330414	1212723	1101178	998641	902458	817751	736947	666271	600385	542856	488123	439011	395212	354707	319295	287534	258887	232745	208471	187836	168908	152301	137485	123829	111716	101016	90652	82044	74477	66987	60691	54833	49439	44986	40368	37264	33806	30569	28167	25405	23411	21399	19463	17714	16351	14880	13959	12822	11581	10790	9695	8799	8493	7692	7272	6721	6122	5807	5515	4986	4733	4303	4083	3824	3472	3390	3085	3005	2752	2577	2449	2258	2177	2024	1924	1771	1670	1650	1549	1452	1388	1309	1186	1134	1127	1092	1011	945	865	843	822	819	798	718	707	668	634	574	609	489	556	510	486	493	453	415	431	400	354	348	353	316	324	334	296	289	264	241	246	231	260	198	224	226	218	164	206	177	172	175	173	188	154	150	154	158	110	126	109	120	114	121	100	120	92	98	100	85	74	77	86	62	62	66	74	62	69	56	50	57	67	59	40	44	45	44	34	40	41	30	28	34	27	35	24	23	30	22	17	24	24	14	29	22	20	23	23	13	16	7	14	15	8	9	11	7	11	13	11	13	6	10	10	11	8	8	6	9	8	4	6	3	8	6	4	2	3	4	3	2	3	3	2	4	2	1	2	4	3	4	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1																																																																																																																																																																							
CHa_47_T0_B_TWS042_10_chr15	4941261	4013317	3899202	3527925	3110108	2750627	2465120	2237102	2034749	1859995	1705419	1554528	1420255	1292994	1177602	1070906	971436	879180	795368	718845	648920	585305	529566	478259	430050	387945	349137	314593	284446	255731	230990	207811	188228	169525	153813	138848	125066	114097	102910	93342	84690	77360	70250	63759	58057	53301	48515	43817	40057	36765	33682	30994	28481	26217	24089	21969	20321	18800	17394	15976	14948	13877	12639	11702	11144	10227	9577	9065	8220	7706	7275	6628	6293	5897	5456	5130	4792	4567	4270	4047	3637	3445	3194	3041	2854	2702	2551	2383	2288	2155	2009	1958	1773	1629	1567	1456	1451	1303	1231	1143	1129	1084	1038	944	933	861	765	768	705	706	616	623	539	570	510	476	460	444	424	399	355	350	368	342	300	298	274	283	282	226	264	215	227	189	194	171	180	160	132	170	135	141	118	116	116	109	106	81	88	77	89	58	82	75	70	68	52	66	65	36	36	38	30	30	40	36	26	34	19	23	24	38	14	17	14	20	8	13	14	15	13	23	12	10	11	9	15	7	7	6	9	5	5	7	3	6	6	4	6	3	6	3	3	3	2	4	3	1	1	1	2	2	1	3	2	2	1	1	1	1	2	1	1																																																																																																																																																																																																								
CHa_47_T0_B_TWS042_10_chr16	5637746	4032137	3904029	3552123	3168221	2846360	2596386	2407004	2247811	2103697	1969004	1839084	1715203	1597313	1482089	1373828	1267874	1169448	1078201	991506	907963	832176	760657	697273	635527	580442	528597	482805	439520	400488	364298	332080	302930	275568	251293	228258	207812	188332	172136	156650	142830	131460	118802	108923	99483	90814	82142	75784	69113	63946	58113	53533	48640	44627	40662	37737	34569	31502	29461	26593	24997	22961	20934	19377	17780	16526	15193	14045	12977	12014	10944	10237	9507	8862	8268	7613	7092	6496	6064	5614	5099	4963	4516	4279	4003	3643	3448	3250	2919	2751	2633	2417	2247	2076	1984	1880	1679	1579	1466	1441	1282	1197	1139	1100	973	965	900	804	840	719	693	642	648	566	487	495	471	467	414	401	370	369	329	342	292	296	235	231	226	219	234	180	170	173	164	153	133	125	129	139	112	107	102	100	93	83	77	90	79	68	63	73	56	56	56	61	58	50	43	43	41	42	31	37	28	24	19	21	30	31	20	29	30	26	22	14	17	18	18	12	13	12	10	15	13	15	11	10	14	11	5	10	7	6	9	10	3	8	10	3	3	1	6	4	6	6	3	3	3	7	4	2	1	2	5	2	1	5	4	3	3	2	3	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1																																																																																																																																																																																
CHa_47_T0_B_TWS042_10_chr17	7479228	5183238	5057323	4657261	4214877	3835301	3536026	3304635	3099883	2911662	2739133	2568123	2406304	2246635	2094192	1945795	1805701	1671136	1544072	1424902	1311839	1206139	1109659	1016809	932644	853282	782445	716943	657261	600811	549790	503264	459505	420275	384530	350070	322299	292913	268954	245809	225737	206295	190130	173269	159358	145927	134161	123711	113769	103991	96383	89137	81788	75389	69457	64175	59563	54614	51061	47192	43903	40493	37379	35029	32586	30166	28098	26571	24432	23129	21281	20230	18667	17559	16502	15501	14275	13624	12551	11810	11114	10385	9876	9252	9029	8259	7740	7400	6952	6577	6179	5969	5510	5284	5046	4482	4487	4268	3907	3884	3696	3502	3239	3117	2844	2786	2648	2565	2488	2297	2201	2184	1895	1950	1811	1744	1641	1656	1507	1468	1383	1347	1236	1233	1126	1129	1083	978	930	911	882	879	750	769	784	732	684	657	651	635	584	567	493	528	441	458	441	454	399	420	372	389	383	318	353	303	298	327	284	255	222	237	242	237	233	186	190	196	180	181	167	159	146	149	146	149	114	122	138	125	114	102	108	118	110	86	112	87	78	88	68	66	84	76	52	63	82	55	48	59	56	49	45	45	45	51	41	41	37	41	40	33	43	36	32	32	22	26	38	24	30	29	26	26	21	21	18	11	24	20	24	17	22	11	16	15	11	12	15	7	9	6	15	7	12	6	15	11	8	9	5	8	5	4	4	6	3	6	4	8	5	1	4	4	10	2	4	4	4	4	6	2	6	4	4	4	1	2	2	3	4	4	1	6	1	2	1	3	3	2	1	2	2	1	1	1	1	2	1	3	2	1	1	1	1	2	2	1	1	2	1																																																																																																																
CHa_47_T0_B_TWS042_10_chr18	2569254	2225982	2116596	1854949	1574776	1345491	1174534	1044518	939568	849092	773094	702350	636566	579525	524433	474919	428019	385416	346520	311693	280869	251618	225574	202413	181428	161707	145481	129890	116746	104170	93484	83600	74121	67180	60409	53870	48220	43318	39322	35030	31755	28663	25920	22901	20970	18875	16909	15560	13831	12546	11585	10574	9492	8486	7874	7136	6627	5821	5382	4947	4530	4322	3804	3487	3312	2982	2784	2639	2435	2237	2048	2005	1721	1625	1504	1477	1281	1246	1160	1093	1029	939	888	840	772	765	691	677	699	615	559	542	512	510	495	446	446	360	401	322	339	340	339	281	271	297	252	281	248	230	210	215	216	212	178	185	157	165	144	131	178	119	137	141	117	135	129	137	112	101	110	108	103	105	108	85	94	88	84	71	75	64	66	60	68	82	78	61	61	65	55	54	50	62	50	37	35	31	41	44	48	31	41	30	35	31	37	34	27	27	23	25	33	29	32	24	33	36	25	25	26	13	30	23	15	19	29	22	23	23	19	16	15	21	8	8	15	18	17	14	19	19	13	10	12	14	13	12	11	9	10	11	18	7	6	12	11	10	5	3	9	5	9	3	5	10	8	7	3	6	5	7	6	9	6	5	6	2	2	4	7	1	5	7	2	6	3	5	2	1	2	4	2	4	2	1	4	5	3	3	2	2	3	1	1	1	1	2	2	3	2	2	1	3	1	1	2	3	2	2	1	2	1	1	1	1	1	1	4	1	2	4	1	1	1	1	1	1																																																																																																																													
